family,front_type,budget,parameter,value,frequency_pct
RWA3D,referenceFronts,1000,selection,boltzmann,30.0
RWA3D,referenceFronts,1000,selection,ranking,26.666666666666668
RWA3D,referenceFronts,1000,selection,stochasticUniversalSampling,20.0
RWA3D,referenceFronts,1000,selection,tournament,16.666666666666664
RWA3D,referenceFronts,1000,selection,random,6.666666666666667
RWA3D,extremePointsFronts,3000,selection,tournament,33.33333333333333
RWA3D,extremePointsFronts,3000,selection,ranking,33.33333333333333
RWA3D,extremePointsFronts,3000,selection,stochasticUniversalSampling,20.0
RWA3D,extremePointsFronts,3000,selection,boltzmann,10.0
RWA3D,extremePointsFronts,3000,selection,random,3.3333333333333335
RWA3D,referenceFronts,3000,selection,boltzmann,30.0
RWA3D,referenceFronts,3000,selection,tournament,23.333333333333332
RWA3D,referenceFronts,3000,selection,ranking,20.0
RWA3D,referenceFronts,3000,selection,random,16.666666666666664
RWA3D,referenceFronts,3000,selection,stochasticUniversalSampling,10.0
RWA3D,extremePointsFronts,5000,selection,tournament,36.666666666666664
RWA3D,extremePointsFronts,5000,selection,stochasticUniversalSampling,33.33333333333333
RWA3D,extremePointsFronts,5000,selection,boltzmann,13.333333333333334
RWA3D,extremePointsFronts,5000,selection,random,10.0
RWA3D,extremePointsFronts,5000,selection,ranking,6.666666666666667
RWA3D,referenceFronts,5000,selection,boltzmann,26.666666666666668
RWA3D,referenceFronts,5000,selection,ranking,26.666666666666668
RWA3D,referenceFronts,5000,selection,stochasticUniversalSampling,16.666666666666664
RWA3D,referenceFronts,5000,selection,tournament,16.666666666666664
RWA3D,referenceFronts,5000,selection,random,13.333333333333334
RWA3D,extremePointsFronts,7000,selection,boltzmann,36.666666666666664
RWA3D,extremePointsFronts,7000,selection,ranking,23.333333333333332
RWA3D,extremePointsFronts,7000,selection,tournament,20.0
RWA3D,extremePointsFronts,7000,selection,stochasticUniversalSampling,13.333333333333334
RWA3D,extremePointsFronts,7000,selection,random,6.666666666666667
RWA3D,referenceFronts,7000,selection,ranking,26.666666666666668
RWA3D,referenceFronts,7000,selection,tournament,26.666666666666668
RWA3D,referenceFronts,7000,selection,boltzmann,16.666666666666664
RWA3D,referenceFronts,7000,selection,random,16.666666666666664
RWA3D,referenceFronts,7000,selection,stochasticUniversalSampling,13.333333333333334
