family,front_type,budget,view,quantile,n_total,n_elite,elite_id
RWA3D,referenceFronts,5000,EP,0.1,451,46,EP_0.10
RWA3D,referenceFronts,5000,EP,0.2,451,91,EP_0.20
RWA3D,referenceFronts,5000,HV,0.05,451,23,HV_0.05
RWA3D,referenceFronts,5000,HV,0.1,451,46,HV_0.10
RWA3D,referenceFronts,5000,HV,0.2,451,91,HV_0.20
RWA3D,referenceFronts,5000,joint,0.05,451,23,joint_0.05
RWA3D,referenceFronts,5000,joint,0.1,451,46,joint_0.10
RWA3D,referenceFronts,5000,joint,0.2,451,91,joint_0.20
RE3D,extremePointsFronts,7000,EP,0.05,252,13,EP_0.05
RE3D,extremePointsFronts,7000,EP,0.1,252,26,EP_0.10
RE3D,extremePointsFronts,7000,EP,0.2,252,51,EP_0.20
RE3D,extremePointsFronts,7000,HV,0.05,252,13,HV_0.05
RE3D,extremePointsFronts,7000,HV,0.1,252,26,HV_0.10
RE3D,extremePointsFronts,7000,HV,0.2,252,51,HV_0.20
RE3D,extremePointsFronts,7000,joint,0.05,252,13,joint_0.05
RE3D,extremePointsFronts,7000,joint,0.1,252,26,joint_0.10
RE3D,extremePointsFronts,7000,joint,0.2,252,51,joint_0.20
RWA3D,extremePointsFronts,7000,EP,0.05,260,13,EP_0.05
RWA3D,extremePointsFronts,7000,EP,0.1,260,26,EP_0.10
RWA3D,extremePointsFronts,7000,EP,0.2,260,52,EP_0.20
RWA3D,extremePointsFronts,7000,HV,0.05,260,13,HV_0.05
RWA3D,extremePointsFronts,7000,HV,0.1,260,26,HV_0.10
RWA3D,extremePointsFronts,7000,HV,0.2,260,52,HV_0.20
RWA3D,extremePointsFronts,7000,joint,0.05,260,13,joint_0.05
RWA3D,extremePointsFronts,7000,joint,0.1,260,26,joint_0.10
RWA3D,extremePointsFronts,7000,joint,0.2,260,52,joint_0.20
RE3D,referenceFronts,7000,EP,0.05,264,14,EP_0.05
RE3D,referenceFronts,7000,EP,0.1,264,27,EP_0.10
RE3D,referenceFronts,7000,EP,0.2,264,53,EP_0.20
RE3D,referenceFronts,7000,HV,0.05,264,14,HV_0.05
RE3D,referenceFronts,7000,HV,0.1,264,27,HV_0.10
RE3D,referenceFronts,7000,HV,0.2,264,53,HV_0.20
RE3D,referenceFronts,7000,joint,0.05,264,14,joint_0.05
RE3D,referenceFronts,7000,joint,0.1,264,27,joint_0.10
RE3D,referenceFronts,7000,joint,0.2,264,53,joint_0.20
RWA3D,referenceFronts,7000,EP,0.05,407,21,EP_0.05
RWA3D,referenceFronts,7000,EP,0.1,407,41,EP_0.10
RWA3D,referenceFronts,7000,EP,0.2,407,82,EP_0.20
RWA3D,referenceFronts,7000,HV,0.05,407,21,HV_0.05
RWA3D,referenceFronts,7000,HV,0.1,407,41,HV_0.10
RWA3D,referenceFronts,7000,HV,0.2,407,82,HV_0.20
RWA3D,referenceFronts,7000,joint,0.05,407,21,joint_0.05
RWA3D,referenceFronts,7000,joint,0.1,407,41,joint_0.10
RWA3D,referenceFronts,7000,joint,0.2,407,82,joint_0.20
