Evaluation,SolutionId,Configuration
350,1,--algorithmResult externalArchive --populationSizeWithArchive 106 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6637383686315927 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.8853099252920169 --selection tournament --selectionTournamentSize 8
400,0,--algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5691178163164285 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
400,1,--algorithmResult externalArchive --populationSizeWithArchive 106 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6637383686315927 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.8853099252920169 --selection tournament --selectionTournamentSize 8
450,0,--algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5691178163164285 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
450,1,--algorithmResult externalArchive --populationSizeWithArchive 106 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6637383686315927 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.8853099252920169 --selection tournament --selectionTournamentSize 8
500,0,--algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5691178163164285 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
500,1,--algorithmResult externalArchive --populationSizeWithArchive 106 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6637383686315927 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.8853099252920169 --selection tournament --selectionTournamentSize 8
550,0,--algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5691178163164285 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
550,1,--algorithmResult externalArchive --populationSizeWithArchive 106 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6637383686315927 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.8853099252920169 --selection tournament --selectionTournamentSize 8
600,0,--algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5691178163164285 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
600,1,--algorithmResult externalArchive --populationSizeWithArchive 106 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6637383686315927 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.8853099252920169 --selection tournament --selectionTournamentSize 8
650,0,--algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5691178163164285 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
650,1,--algorithmResult externalArchive --populationSizeWithArchive 106 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6637383686315927 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.8853099252920169 --selection tournament --selectionTournamentSize 8
700,0,--algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5691178163164285 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
700,1,--algorithmResult externalArchive --populationSizeWithArchive 106 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6637383686315927 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.8853099252920169 --selection tournament --selectionTournamentSize 8
700,2,--algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6059540712211302 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9729426341811974 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
750,0,--algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5691178163164285 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
750,1,--algorithmResult externalArchive --populationSizeWithArchive 106 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6637383686315927 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.8853099252920169 --selection tournament --selectionTournamentSize 8
750,2,--algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6059540712211302 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9729426341811974 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
800,0,--algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5691178163164285 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
800,1,--algorithmResult externalArchive --populationSizeWithArchive 106 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6637383686315927 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.8853099252920169 --selection tournament --selectionTournamentSize 8
800,2,--algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6059540712211302 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9729426341811974 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
850,0,--algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5691178163164285 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
850,1,--algorithmResult externalArchive --populationSizeWithArchive 106 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6637383686315927 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.8853099252920169 --selection tournament --selectionTournamentSize 8
850,2,--algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6059540712211302 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9729426341811974 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
900,0,--algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5691178163164285 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
900,1,--algorithmResult externalArchive --populationSizeWithArchive 106 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6637383686315927 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.8853099252920169 --selection tournament --selectionTournamentSize 8
900,2,--algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6059540712211302 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9729426341811974 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
950,0,--algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5691178163164285 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
950,1,--algorithmResult externalArchive --populationSizeWithArchive 106 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6637383686315927 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.8853099252920169 --selection tournament --selectionTournamentSize 8
950,2,--algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6059540712211302 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9729426341811974 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
1000,0,--algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5691178163164285 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
1000,1,--algorithmResult externalArchive --populationSizeWithArchive 106 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6637383686315927 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.8853099252920169 --selection tournament --selectionTournamentSize 8
1000,2,--algorithmResult externalArchive --populationSizeWithArchive 106 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5517066386601103 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9319611631694084 --selection ranking
1000,3,--algorithmResult externalArchive --populationSizeWithArchive 21 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.9566451475523361 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.8681078442028515 --blxAlphaBetaCrossoverAlpha 0.8167430365529402 --mutation uniform --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy round --uniformMutationPerturbation 0.6004600343752707 --selection random
1050,0,--algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5691178163164285 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
1050,1,--algorithmResult externalArchive --populationSizeWithArchive 106 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6637383686315927 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.8853099252920169 --selection tournament --selectionTournamentSize 8
