Evaluation,SolutionId,EP,NHV
1200,3,0.013275832671395862,0.00904773924772974
1250,0,0.0143213888043077,0.008106135282707634
1250,1,0.014380153641614305,0.007619179856922683
1250,2,0.013275832671395862,0.00904773924772974
1250,3,0.015766367279983255,0.007496429763428093
1250,4,0.014071328164935882,0.008788371039567169
1250,5,0.019737164721815546,0.007476117373805158
1300,0,0.0143213888043077,0.008106135282707634
1300,1,0.014380153641614305,0.007619179856922683
1300,2,0.013275832671395862,0.00904773924772974
1300,3,0.015766367279983255,0.007496429763428093
1300,4,0.014071328164935882,0.008788371039567169
1300,5,0.019737164721815546,0.007476117373805158
1350,0,0.014380153641614305,0.007619179856922683
1350,1,0.013275832671395862,0.00904773924772974
1350,2,0.015766367279983255,0.007496429763428093
1350,3,0.019737164721815546,0.007476117373805158
1350,4,0.013367186096262505,0.007757922157150686
1400,0,0.014380153641614305,0.007619179856922683
1400,1,0.013275832671395862,0.00904773924772974
1400,2,0.015766367279983255,0.007496429763428093
1400,3,0.019737164721815546,0.007476117373805158
1400,4,0.013367186096262505,0.007757922157150686
1450,0,0.014380153641614305,0.007619179856922683
1450,1,0.013275832671395862,0.00904773924772974
1450,2,0.015766367279983255,0.007496429763428093
1450,3,0.019737164721815546,0.007476117373805158
1450,4,0.013367186096262505,0.007757922157150686
1500,0,0.014380153641614305,0.007619179856922683
1500,1,0.013275832671395862,0.00904773924772974
1500,2,0.015766367279983255,0.007496429763428093
1500,3,0.019737164721815546,0.007476117373805158
1500,4,0.013367186096262505,0.007757922157150686
1550,0,0.014380153641614305,0.007619179856922683
1550,1,0.013275832671395862,0.00904773924772974
1550,2,0.015766367279983255,0.007496429763428093
1550,3,0.019737164721815546,0.007476117373805158
1550,4,0.013367186096262505,0.007757922157150686
1600,0,0.014380153641614305,0.007619179856922683
1600,1,0.013275832671395862,0.00904773924772974
1600,2,0.015766367279983255,0.007496429763428093
1600,3,0.019737164721815546,0.007476117373805158
1600,4,0.013367186096262505,0.007757922157150686
1650,0,0.014380153641614305,0.007619179856922683
1650,1,0.013275832671395862,0.00904773924772974
1650,2,0.015766367279983255,0.007496429763428093
1650,3,0.019737164721815546,0.007476117373805158
1650,4,0.013367186096262505,0.007757922157150686
1700,0,0.014380153641614305,0.007619179856922683
1700,1,0.013275832671395862,0.00904773924772974
1700,2,0.015766367279983255,0.007496429763428093
1700,3,0.019737164721815546,0.007476117373805158
1700,4,0.013367186096262505,0.007757922157150686
1750,0,0.014380153641614305,0.007619179856922683
1750,1,0.013275832671395862,0.00904773924772974
1750,2,0.015766367279983255,0.007496429763428093
1750,3,0.019737164721815546,0.007476117373805158
1750,4,0.013367186096262505,0.007757922157150686
1800,0,0.014380153641614305,0.007619179856922683
1800,1,0.013275832671395862,0.00904773924772974
1800,2,0.015766367279983255,0.007496429763428093
1800,3,0.019737164721815546,0.007476117373805158
1800,4,0.013367186096262505,0.007757922157150686
1850,0,0.014380153641614305,0.007619179856922683
1850,1,0.013275832671395862,0.00904773924772974
1850,2,0.015766367279983255,0.007496429763428093
1850,3,0.019737164721815546,0.007476117373805158
1850,4,0.013367186096262505,0.007757922157150686
1900,0,0.014380153641614305,0.007619179856922683
1900,1,0.013275832671395862,0.00904773924772974
1900,2,0.015766367279983255,0.007496429763428093
1900,3,0.019737164721815546,0.007476117373805158
1900,4,0.013367186096262505,0.007757922157150686
1950,0,0.014380153641614305,0.007619179856922683
1950,1,0.013275832671395862,0.00904773924772974
1950,2,0.015766367279983255,0.007496429763428093
1950,3,0.019737164721815546,0.007476117373805158
1950,4,0.013367186096262505,0.007757922157150686
1950,5,0.014684362617748855,0.007612099122115927
2000,0,0.014380153641614305,0.007619179856922683
2000,1,0.013275832671395862,0.00904773924772974
2000,2,0.015766367279983255,0.007496429763428093
2000,3,0.019737164721815546,0.007476117373805158
2000,4,0.013367186096262505,0.007757922157150686
2000,5,0.014684362617748855,0.007612099122115927
2000,0,0.014380153641614305,0.007619179856922683
2000,1,0.013275832671395862,0.00904773924772974
2000,2,0.015766367279983255,0.007496429763428093
2000,3,0.019737164721815546,0.007476117373805158
2000,4,0.013367186096262505,0.007757922157150686
2000,5,0.014684362617748855,0.007612099122115927
