# Evaluation: 0

# Evaluation: 100
EP=0.016334476628200256 | --algorithmResult externalArchive --populationSizeWithArchive 96 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.4442506731717786 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.05205737279819389 --pcxCrossoverEta 0.8758891525067628 --mutation levyFlight --mutationProbabilityFactor 0.5959769734666824 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.8361969786425796 --levyFlightMutationStepSize 0.6703675227207986 --selection random 
EP=0.01420469565632983 | --algorithmResult externalArchive --populationSizeWithArchive 97 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.81747235465306 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.05222497940081943 --pcxCrossoverEta 0.8732566257607551 --mutation levyFlight --mutationProbabilityFactor 0.5959769734666824 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.3335677499326328 --levyFlightMutationStepSize 0.6730138458064885 --selection random 

# Evaluation: 1300
EP=0.01420469565632983 | --algorithmResult externalArchive --populationSizeWithArchive 97 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.81747235465306 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.05222497940081943 --pcxCrossoverEta 0.8732566257607551 --mutation levyFlight --mutationProbabilityFactor 0.5959769734666824 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.3335677499326328 --levyFlightMutationStepSize 0.6730138458064885 --selection random 

# Evaluation: 1400
EP=0.01420469565632983 | --algorithmResult externalArchive --populationSizeWithArchive 97 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.81747235465306 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.05222497940081943 --pcxCrossoverEta 0.8732566257607551 --mutation levyFlight --mutationProbabilityFactor 0.5959769734666824 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.3335677499326328 --levyFlightMutationStepSize 0.6730138458064885 --selection random 

# Evaluation: 1500
EP=0.01420469565632983 | --algorithmResult externalArchive --populationSizeWithArchive 97 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.81747235465306 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.05222497940081943 --pcxCrossoverEta 0.8732566257607551 --mutation levyFlight --mutationProbabilityFactor 0.5959769734666824 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.3335677499326328 --levyFlightMutationStepSize 0.6730138458064885 --selection random 

# Evaluation: 1600
EP=0.013942274843943907 | --algorithmResult externalArchive --populationSizeWithArchive 89 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.7459716919418495 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.6909951160987426 --pcxCrossoverEta 0.8758889296057859 --mutation levyFlight --mutationProbabilityFactor 0.5382312438677715 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.7148686616622693 --levyFlightMutationStepSize 0.6728883061181175 --selection random 

# Evaluation: 1700
EP=0.013942274843943907 | --algorithmResult externalArchive --populationSizeWithArchive 89 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.7459716919418495 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.6909951160987426 --pcxCrossoverEta 0.8758889296057859 --mutation levyFlight --mutationProbabilityFactor 0.5382312438677715 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.7148686616622693 --levyFlightMutationStepSize 0.6728883061181175 --selection random 

# Evaluation: 1800
EP=0.013431886219509933 | --algorithmResult externalArchive --populationSizeWithArchive 96 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.939512461590959 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.7028629638214491 --pcxCrossoverEta 0.8760748060163669 --mutation levyFlight --mutationProbabilityFactor 0.4742123742038084 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2057910491626997 --levyFlightMutationStepSize 0.6731713596080662 --selection random 

# Evaluation: 1900
EP=0.013431886219509933 | --algorithmResult externalArchive --populationSizeWithArchive 96 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.939512461590959 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.7028629638214491 --pcxCrossoverEta 0.8760748060163669 --mutation levyFlight --mutationProbabilityFactor 0.4742123742038084 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2057910491626997 --levyFlightMutationStepSize 0.6731713596080662 --selection random 

# Evaluation: 2000
EP=0.013431886219509933 | --algorithmResult externalArchive --populationSizeWithArchive 96 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.939512461590959 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.7028629638214491 --pcxCrossoverEta 0.8760748060163669 --mutation levyFlight --mutationProbabilityFactor 0.4742123742038084 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2057910491626997 --levyFlightMutationStepSize 0.6731713596080662 --selection random 

# Evaluation: 2100
EP=0.013431886219509933 | --algorithmResult externalArchive --populationSizeWithArchive 96 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.939512461590959 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.7028629638214491 --pcxCrossoverEta 0.8760748060163669 --mutation levyFlight --mutationProbabilityFactor 0.4742123742038084 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2057910491626997 --levyFlightMutationStepSize 0.6731713596080662 --selection random 

# Evaluation: 2200
EP=0.013431886219509933 | --algorithmResult externalArchive --populationSizeWithArchive 96 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.939512461590959 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.7028629638214491 --pcxCrossoverEta 0.8760748060163669 --mutation levyFlight --mutationProbabilityFactor 0.4742123742038084 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2057910491626997 --levyFlightMutationStepSize 0.6731713596080662 --selection random 

# Evaluation: 2300
EP=0.013431886219509933 | --algorithmResult externalArchive --populationSizeWithArchive 96 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.939512461590959 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.7028629638214491 --pcxCrossoverEta 0.8760748060163669 --mutation levyFlight --mutationProbabilityFactor 0.4742123742038084 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2057910491626997 --levyFlightMutationStepSize 0.6731713596080662 --selection random 

# Evaluation: 2400
EP=0.013431886219509933 | --algorithmResult externalArchive --populationSizeWithArchive 96 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.939512461590959 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.7028629638214491 --pcxCrossoverEta 0.8760748060163669 --mutation levyFlight --mutationProbabilityFactor 0.4742123742038084 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2057910491626997 --levyFlightMutationStepSize 0.6731713596080662 --selection random 

# Evaluation: 2500
EP=0.013431886219509933 | --algorithmResult externalArchive --populationSizeWithArchive 96 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.939512461590959 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.7028629638214491 --pcxCrossoverEta 0.8760748060163669 --mutation levyFlight --mutationProbabilityFactor 0.4742123742038084 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2057910491626997 --levyFlightMutationStepSize 0.6731713596080662 --selection random 

# Evaluation: 2600
EP=0.013431886219509933 | --algorithmResult externalArchive --populationSizeWithArchive 96 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.939512461590959 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.7028629638214491 --pcxCrossoverEta 0.8760748060163669 --mutation levyFlight --mutationProbabilityFactor 0.4742123742038084 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2057910491626997 --levyFlightMutationStepSize 0.6731713596080662 --selection random 

# Evaluation: 2700
EP=0.013431886219509933 | --algorithmResult externalArchive --populationSizeWithArchive 96 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.939512461590959 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.7028629638214491 --pcxCrossoverEta 0.8760748060163669 --mutation levyFlight --mutationProbabilityFactor 0.4742123742038084 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2057910491626997 --levyFlightMutationStepSize 0.6731713596080662 --selection random 

# Evaluation: 2800
EP=0.013431886219509933 | --algorithmResult externalArchive --populationSizeWithArchive 96 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.939512461590959 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.7028629638214491 --pcxCrossoverEta 0.8760748060163669 --mutation levyFlight --mutationProbabilityFactor 0.4742123742038084 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2057910491626997 --levyFlightMutationStepSize 0.6731713596080662 --selection random 

# Evaluation: 2900
EP=0.013431886219509933 | --algorithmResult externalArchive --populationSizeWithArchive 96 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.939512461590959 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.7028629638214491 --pcxCrossoverEta 0.8760748060163669 --mutation levyFlight --mutationProbabilityFactor 0.4742123742038084 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2057910491626997 --levyFlightMutationStepSize 0.6731713596080662 --selection random 

# Evaluation: 3000
EP=0.013431886219509933 | --algorithmResult externalArchive --populationSizeWithArchive 96 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.939512461590959 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.7028629638214491 --pcxCrossoverEta 0.8760748060163669 --mutation levyFlight --mutationProbabilityFactor 0.4742123742038084 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2057910491626997 --levyFlightMutationStepSize 0.6731713596080662 --selection random 

# Evaluation: 3000
EP=0.013431886219509933 | --algorithmResult externalArchive --populationSizeWithArchive 96 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.939512461590959 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.7028629638214491 --pcxCrossoverEta 0.8760748060163669 --mutation levyFlight --mutationProbabilityFactor 0.4742123742038084 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2057910491626997 --levyFlightMutationStepSize 0.6731713596080662 --selection random 

