family,front_type,budget,view,quantile,parameter,parameter_kind,observed_n,elite_n,observed_unique,elite_unique,dominant_category,dominant_share
RE3D,extremePointsFronts,3000,HV,0.1,crossoverRepairStrategy,categorical,286,29,3,3,bounds,0.8275862068965517
RE3D,extremePointsFronts,3000,HV,0.2,crossoverRepairStrategy,categorical,286,58,3,3,bounds,0.8275862068965517
RE3D,extremePointsFronts,3000,joint,0.05,crossoverRepairStrategy,categorical,286,15,3,1,bounds,1.0
RE3D,extremePointsFronts,3000,joint,0.1,crossoverRepairStrategy,categorical,286,29,3,1,bounds,1.0
RE3D,extremePointsFronts,3000,joint,0.2,crossoverRepairStrategy,categorical,286,58,3,2,bounds,0.9827586206896551
RE3D,extremePointsFronts,3000,EP,0.05,mutation,categorical,286,15,5,2,levyFlight,0.6
RE3D,extremePointsFronts,3000,EP,0.1,mutation,categorical,286,29,5,2,levyFlight,0.6551724137931034
RE3D,extremePointsFronts,3000,EP,0.2,mutation,categorical,286,58,5,3,levyFlight,0.5172413793103449
RE3D,extremePointsFronts,3000,HV,0.05,mutation,categorical,286,15,5,2,levyFlight,0.6
RE3D,extremePointsFronts,3000,HV,0.1,mutation,categorical,286,29,5,2,levyFlight,0.5517241379310345
RE3D,extremePointsFronts,3000,HV,0.2,mutation,categorical,286,58,5,3,powerLaw,0.5
RE3D,extremePointsFronts,3000,joint,0.05,mutation,categorical,286,15,5,2,levyFlight,0.8
RE3D,extremePointsFronts,3000,joint,0.1,mutation,categorical,286,29,5,2,levyFlight,0.7586206896551724
RE3D,extremePointsFronts,3000,joint,0.2,mutation,categorical,286,58,5,3,levyFlight,0.7586206896551724
RE3D,extremePointsFronts,3000,EP,0.05,mutationRepairStrategy,categorical,286,15,3,2,bounds,0.7333333333333333
RE3D,extremePointsFronts,3000,EP,0.1,mutationRepairStrategy,categorical,286,29,3,2,bounds,0.7241379310344828
RE3D,extremePointsFronts,3000,EP,0.2,mutationRepairStrategy,categorical,286,58,3,2,bounds,0.6551724137931034
RE3D,extremePointsFronts,3000,HV,0.05,mutationRepairStrategy,categorical,286,15,3,2,bounds,0.8
RE3D,extremePointsFronts,3000,HV,0.1,mutationRepairStrategy,categorical,286,29,3,2,bounds,0.7586206896551724
RE3D,extremePointsFronts,3000,HV,0.2,mutationRepairStrategy,categorical,286,58,3,2,bounds,0.7586206896551724
RE3D,extremePointsFronts,3000,joint,0.05,mutationRepairStrategy,categorical,286,15,3,1,bounds,1.0
RE3D,extremePointsFronts,3000,joint,0.1,mutationRepairStrategy,categorical,286,29,3,2,bounds,0.9655172413793104
RE3D,extremePointsFronts,3000,joint,0.2,mutationRepairStrategy,categorical,286,58,3,2,bounds,0.9310344827586207
RE3D,extremePointsFronts,3000,EP,0.05,offspringPopulationSize,categorical,286,15,7,5,5,0.3333333333333333
RE3D,extremePointsFronts,3000,EP,0.1,offspringPopulationSize,categorical,286,29,7,6,5,0.27586206896551724
RE3D,extremePointsFronts,3000,EP,0.2,offspringPopulationSize,categorical,286,58,7,6,5,0.3620689655172414
RE3D,extremePointsFronts,3000,HV,0.05,offspringPopulationSize,categorical,286,15,7,6,50,0.26666666666666666
RE3D,extremePointsFronts,3000,HV,0.1,offspringPopulationSize,categorical,286,29,7,6,20,0.2413793103448276
RE3D,extremePointsFronts,3000,HV,0.2,offspringPopulationSize,categorical,286,58,7,6,10,0.25862068965517243
RE3D,extremePointsFronts,3000,joint,0.05,offspringPopulationSize,categorical,286,15,7,5,20,0.3333333333333333
RE3D,extremePointsFronts,3000,joint,0.1,offspringPopulationSize,categorical,286,29,7,6,20,0.27586206896551724
RE3D,extremePointsFronts,3000,joint,0.2,offspringPopulationSize,categorical,286,58,7,6,20,0.29310344827586204
RE3D,extremePointsFronts,3000,EP,0.05,selection,categorical,286,15,5,4,boltzmann,0.6666666666666666
RE3D,extremePointsFronts,3000,EP,0.1,selection,categorical,286,29,5,4,boltzmann,0.6206896551724138
RE3D,extremePointsFronts,3000,EP,0.2,selection,categorical,286,58,5,5,boltzmann,0.5172413793103449
RE3D,extremePointsFronts,3000,HV,0.05,selection,categorical,286,15,5,4,boltzmann,0.5333333333333333
RE3D,extremePointsFronts,3000,HV,0.1,selection,categorical,286,29,5,5,boltzmann,0.5172413793103449
RE3D,extremePointsFronts,3000,HV,0.2,selection,categorical,286,58,5,5,boltzmann,0.4482758620689655
RE3D,extremePointsFronts,3000,joint,0.05,selection,categorical,286,15,5,4,boltzmann,0.6
RE3D,extremePointsFronts,3000,joint,0.1,selection,categorical,286,29,5,5,boltzmann,0.6896551724137931
RE3D,extremePointsFronts,3000,joint,0.2,selection,categorical,286,58,5,5,boltzmann,0.6896551724137931
RE3D,extremePointsFronts,3000,EP,0.05,variation,categorical,286,15,1,1,crossoverAndMutationVariation,1.0
RE3D,extremePointsFronts,3000,EP,0.1,variation,categorical,286,29,1,1,crossoverAndMutationVariation,1.0
RE3D,extremePointsFronts,3000,EP,0.2,variation,categorical,286,58,1,1,crossoverAndMutationVariation,1.0
RE3D,extremePointsFronts,3000,HV,0.05,variation,categorical,286,15,1,1,crossoverAndMutationVariation,1.0
RE3D,extremePointsFronts,3000,HV,0.1,variation,categorical,286,29,1,1,crossoverAndMutationVariation,1.0
RE3D,extremePointsFronts,3000,HV,0.2,variation,categorical,286,58,1,1,crossoverAndMutationVariation,1.0
RE3D,extremePointsFronts,3000,joint,0.05,variation,categorical,286,15,1,1,crossoverAndMutationVariation,1.0
RE3D,extremePointsFronts,3000,joint,0.1,variation,categorical,286,29,1,1,crossoverAndMutationVariation,1.0
RE3D,extremePointsFronts,3000,joint,0.2,variation,categorical,286,58,1,1,crossoverAndMutationVariation,1.0
RWA3D,extremePointsFronts,3000,EP,0.05,algorithmResult,categorical,257,13,1,1,externalArchive,1.0
RWA3D,extremePointsFronts,3000,EP,0.1,algorithmResult,categorical,257,26,1,1,externalArchive,1.0
RWA3D,extremePointsFronts,3000,EP,0.2,algorithmResult,categorical,257,52,1,1,externalArchive,1.0
RWA3D,extremePointsFronts,3000,HV,0.05,algorithmResult,categorical,257,13,1,1,externalArchive,1.0
RWA3D,extremePointsFronts,3000,HV,0.1,algorithmResult,categorical,257,26,1,1,externalArchive,1.0
RWA3D,extremePointsFronts,3000,HV,0.2,algorithmResult,categorical,257,52,1,1,externalArchive,1.0
RWA3D,extremePointsFronts,3000,joint,0.05,algorithmResult,categorical,257,13,1,1,externalArchive,1.0
RWA3D,extremePointsFronts,3000,joint,0.1,algorithmResult,categorical,257,26,1,1,externalArchive,1.0
RWA3D,extremePointsFronts,3000,joint,0.2,algorithmResult,categorical,257,52,1,1,externalArchive,1.0
RWA3D,extremePointsFronts,3000,EP,0.05,archiveType,categorical,257,13,1,1,unboundedArchive,1.0
RWA3D,extremePointsFronts,3000,EP,0.1,archiveType,categorical,257,26,1,1,unboundedArchive,1.0
RWA3D,extremePointsFronts,3000,EP,0.2,archiveType,categorical,257,52,1,1,unboundedArchive,1.0
RWA3D,extremePointsFronts,3000,HV,0.05,archiveType,categorical,257,13,1,1,unboundedArchive,1.0
RWA3D,extremePointsFronts,3000,HV,0.1,archiveType,categorical,257,26,1,1,unboundedArchive,1.0
RWA3D,extremePointsFronts,3000,HV,0.2,archiveType,categorical,257,52,1,1,unboundedArchive,1.0
RWA3D,extremePointsFronts,3000,joint,0.05,archiveType,categorical,257,13,1,1,unboundedArchive,1.0
RWA3D,extremePointsFronts,3000,joint,0.1,archiveType,categorical,257,26,1,1,unboundedArchive,1.0
RWA3D,extremePointsFronts,3000,joint,0.2,archiveType,categorical,257,52,1,1,unboundedArchive,1.0
RWA3D,extremePointsFronts,3000,EP,0.05,createInitialSolutions,categorical,257,13,6,6,latinHypercubeSampling,0.3076923076923077
RWA3D,extremePointsFronts,3000,EP,0.1,createInitialSolutions,categorical,257,26,6,6,latinHypercubeSampling,0.2692307692307692
RWA3D,extremePointsFronts,3000,EP,0.2,createInitialSolutions,categorical,257,52,6,6,cauchy,0.34615384615384615
RWA3D,extremePointsFronts,3000,HV,0.05,createInitialSolutions,categorical,257,13,6,2,cauchy,0.9230769230769231
RWA3D,extremePointsFronts,3000,HV,0.1,createInitialSolutions,categorical,257,26,6,3,cauchy,0.8461538461538461
RWA3D,extremePointsFronts,3000,HV,0.2,createInitialSolutions,categorical,257,52,6,4,cauchy,0.75
RWA3D,extremePointsFronts,3000,joint,0.05,createInitialSolutions,categorical,257,13,6,2,cauchy,0.6923076923076923
RWA3D,extremePointsFronts,3000,joint,0.1,createInitialSolutions,categorical,257,26,6,5,cauchy,0.6923076923076923
RWA3D,extremePointsFronts,3000,joint,0.2,createInitialSolutions,categorical,257,52,6,6,cauchy,0.75
RWA3D,extremePointsFronts,3000,EP,0.05,crossover,categorical,257,13,6,3,BLX-alpha-beta,0.46153846153846156
RWA3D,extremePointsFronts,3000,EP,0.1,crossover,categorical,257,26,6,5,BLX-alpha-beta,0.46153846153846156
RWA3D,extremePointsFronts,3000,EP,0.2,crossover,categorical,257,52,6,5,BLX-alpha-beta,0.5769230769230769
RWA3D,extremePointsFronts,3000,HV,0.05,crossover,categorical,257,13,6,2,BLX-alpha,0.6923076923076923
RWA3D,extremePointsFronts,3000,HV,0.1,crossover,categorical,257,26,6,2,BLX-alpha,0.5384615384615384
RWA3D,extremePointsFronts,3000,HV,0.2,crossover,categorical,257,52,6,2,BLX-alpha,0.5384615384615384
RWA3D,extremePointsFronts,3000,joint,0.05,crossover,categorical,257,13,6,2,BLX-alpha-beta,0.8461538461538461
RWA3D,extremePointsFronts,3000,joint,0.1,crossover,categorical,257,26,6,2,BLX-alpha-beta,0.5384615384615384
RWA3D,extremePointsFronts,3000,joint,0.2,crossover,categorical,257,52,6,2,BLX-alpha-beta,0.5384615384615384
RWA3D,extremePointsFronts,3000,EP,0.05,crossoverRepairStrategy,categorical,257,13,3,3,bounds,0.5384615384615384
RWA3D,extremePointsFronts,3000,EP,0.1,crossoverRepairStrategy,categorical,257,26,3,3,bounds,0.5
RWA3D,extremePointsFronts,3000,EP,0.2,crossoverRepairStrategy,categorical,257,52,3,3,bounds,0.5384615384615384
RWA3D,extremePointsFronts,3000,HV,0.05,crossoverRepairStrategy,categorical,257,13,3,3,bounds,0.6923076923076923
RWA3D,extremePointsFronts,3000,HV,0.1,crossoverRepairStrategy,categorical,257,26,3,3,bounds,0.6923076923076923
RWA3D,extremePointsFronts,3000,HV,0.2,crossoverRepairStrategy,categorical,257,52,3,3,bounds,0.75
RWA3D,extremePointsFronts,3000,joint,0.05,crossoverRepairStrategy,categorical,257,13,3,3,bounds,0.6153846153846154
RWA3D,extremePointsFronts,3000,joint,0.1,crossoverRepairStrategy,categorical,257,26,3,3,bounds,0.6923076923076923
RWA3D,extremePointsFronts,3000,joint,0.2,crossoverRepairStrategy,categorical,257,52,3,3,bounds,0.7307692307692307
RWA3D,extremePointsFronts,3000,EP,0.05,mutation,categorical,257,13,2,1,powerLaw,1.0
RWA3D,extremePointsFronts,3000,EP,0.1,mutation,categorical,257,26,2,2,powerLaw,0.9615384615384616
RWA3D,extremePointsFronts,3000,EP,0.2,mutation,categorical,257,52,2,2,powerLaw,0.9807692307692307
RWA3D,extremePointsFronts,3000,HV,0.05,mutation,categorical,257,13,2,1,powerLaw,1.0
RWA3D,extremePointsFronts,3000,HV,0.1,mutation,categorical,257,26,2,1,powerLaw,1.0
RWA3D,extremePointsFronts,3000,HV,0.2,mutation,categorical,257,52,2,1,powerLaw,1.0
RWA3D,extremePointsFronts,3000,joint,0.05,mutation,categorical,257,13,2,1,powerLaw,1.0
RWA3D,extremePointsFronts,3000,joint,0.1,mutation,categorical,257,26,2,1,powerLaw,1.0
RWA3D,extremePointsFronts,3000,joint,0.2,mutation,categorical,257,52,2,1,powerLaw,1.0
RWA3D,extremePointsFronts,3000,EP,0.05,mutationRepairStrategy,categorical,257,13,2,2,round,0.5384615384615384
RWA3D,extremePointsFronts,3000,EP,0.1,mutationRepairStrategy,categorical,257,26,2,2,bounds,0.5384615384615384
RWA3D,extremePointsFronts,3000,EP,0.2,mutationRepairStrategy,categorical,257,52,2,2,bounds,0.5384615384615384
RWA3D,extremePointsFronts,3000,HV,0.05,mutationRepairStrategy,categorical,257,13,2,2,round,0.6923076923076923
RWA3D,extremePointsFronts,3000,HV,0.1,mutationRepairStrategy,categorical,257,26,2,2,round,0.7307692307692307
RWA3D,extremePointsFronts,3000,HV,0.2,mutationRepairStrategy,categorical,257,52,2,2,round,0.6730769230769231
RWA3D,extremePointsFronts,3000,joint,0.05,mutationRepairStrategy,categorical,257,13,2,2,round,0.6153846153846154
RWA3D,extremePointsFronts,3000,joint,0.1,mutationRepairStrategy,categorical,257,26,2,2,bounds,0.5
RWA3D,extremePointsFronts,3000,joint,0.2,mutationRepairStrategy,categorical,257,52,2,2,bounds,0.5
RWA3D,extremePointsFronts,3000,EP,0.05,offspringPopulationSize,categorical,257,13,7,6,1,0.23076923076923078
RWA3D,extremePointsFronts,3000,EP,0.1,offspringPopulationSize,categorical,257,26,7,7,50,0.2692307692307692
RWA3D,extremePointsFronts,3000,EP,0.2,offspringPopulationSize,categorical,257,52,7,7,10,0.3076923076923077
RWA3D,extremePointsFronts,3000,HV,0.05,offspringPopulationSize,categorical,257,13,7,4,50,0.38461538461538464
RWA3D,extremePointsFronts,3000,HV,0.1,offspringPopulationSize,categorical,257,26,7,7,50,0.2692307692307692
RWA3D,extremePointsFronts,3000,HV,0.2,offspringPopulationSize,categorical,257,52,7,7,10,0.3076923076923077
RWA3D,extremePointsFronts,3000,joint,0.05,offspringPopulationSize,categorical,257,13,7,4,50,0.38461538461538464
RWA3D,extremePointsFronts,3000,joint,0.1,offspringPopulationSize,categorical,257,26,7,5,50,0.3076923076923077
RWA3D,extremePointsFronts,3000,joint,0.2,offspringPopulationSize,categorical,257,52,7,7,10,0.3269230769230769
RWA3D,extremePointsFronts,3000,EP,0.05,selection,categorical,257,13,5,4,stochasticUniversalSampling,0.46153846153846156
RWA3D,extremePointsFronts,3000,EP,0.1,selection,categorical,257,26,5,5,tournament,0.34615384615384615
RWA3D,extremePointsFronts,3000,EP,0.2,selection,categorical,257,52,5,5,tournament,0.28846153846153844
RWA3D,extremePointsFronts,3000,HV,0.05,selection,categorical,257,13,5,2,tournament,0.6923076923076923
RWA3D,extremePointsFronts,3000,HV,0.1,selection,categorical,257,26,5,4,tournament,0.6538461538461539
RWA3D,extremePointsFronts,3000,HV,0.2,selection,categorical,257,52,5,5,tournament,0.46153846153846156
RWA3D,extremePointsFronts,3000,joint,0.05,selection,categorical,257,13,5,3,tournament,0.38461538461538464
RWA3D,extremePointsFronts,3000,joint,0.1,selection,categorical,257,26,5,5,tournament,0.46153846153846156
RWA3D,extremePointsFronts,3000,joint,0.2,selection,categorical,257,52,5,5,tournament,0.4807692307692308
RWA3D,extremePointsFronts,3000,EP,0.05,variation,categorical,257,13,1,1,crossoverAndMutationVariation,1.0
RWA3D,extremePointsFronts,3000,EP,0.1,variation,categorical,257,26,1,1,crossoverAndMutationVariation,1.0
RWA3D,extremePointsFronts,3000,EP,0.2,variation,categorical,257,52,1,1,crossoverAndMutationVariation,1.0
RWA3D,extremePointsFronts,3000,HV,0.05,variation,categorical,257,13,1,1,crossoverAndMutationVariation,1.0
RWA3D,extremePointsFronts,3000,HV,0.1,variation,categorical,257,26,1,1,crossoverAndMutationVariation,1.0
RWA3D,extremePointsFronts,3000,HV,0.2,variation,categorical,257,52,1,1,crossoverAndMutationVariation,1.0
RWA3D,extremePointsFronts,3000,joint,0.05,variation,categorical,257,13,1,1,crossoverAndMutationVariation,1.0
RWA3D,extremePointsFronts,3000,joint,0.1,variation,categorical,257,26,1,1,crossoverAndMutationVariation,1.0
RWA3D,extremePointsFronts,3000,joint,0.2,variation,categorical,257,52,1,1,crossoverAndMutationVariation,1.0
RE3D,referenceFronts,3000,EP,0.05,algorithmResult,categorical,202,11,1,1,externalArchive,1.0
RE3D,referenceFronts,3000,EP,0.1,algorithmResult,categorical,202,21,1,1,externalArchive,1.0
RE3D,referenceFronts,3000,EP,0.2,algorithmResult,categorical,202,41,1,1,externalArchive,1.0
RE3D,referenceFronts,3000,HV,0.05,algorithmResult,categorical,202,11,1,1,externalArchive,1.0
RE3D,referenceFronts,3000,HV,0.1,algorithmResult,categorical,202,21,1,1,externalArchive,1.0
RE3D,referenceFronts,3000,HV,0.2,algorithmResult,categorical,202,41,1,1,externalArchive,1.0
RE3D,referenceFronts,3000,joint,0.05,algorithmResult,categorical,202,11,1,1,externalArchive,1.0
RE3D,referenceFronts,3000,joint,0.1,algorithmResult,categorical,202,21,1,1,externalArchive,1.0
RE3D,referenceFronts,3000,joint,0.2,algorithmResult,categorical,202,41,1,1,externalArchive,1.0
RE3D,referenceFronts,3000,EP,0.05,archiveType,categorical,202,11,1,1,unboundedArchive,1.0
RE3D,referenceFronts,3000,EP,0.1,archiveType,categorical,202,21,1,1,unboundedArchive,1.0
RE3D,referenceFronts,3000,EP,0.2,archiveType,categorical,202,41,1,1,unboundedArchive,1.0
RE3D,referenceFronts,3000,HV,0.05,archiveType,categorical,202,11,1,1,unboundedArchive,1.0
RE3D,referenceFronts,3000,HV,0.1,archiveType,categorical,202,21,1,1,unboundedArchive,1.0
RE3D,referenceFronts,3000,HV,0.2,archiveType,categorical,202,41,1,1,unboundedArchive,1.0
RE3D,referenceFronts,3000,joint,0.05,archiveType,categorical,202,11,1,1,unboundedArchive,1.0
RE3D,referenceFronts,3000,joint,0.1,archiveType,categorical,202,21,1,1,unboundedArchive,1.0
RE3D,referenceFronts,3000,joint,0.2,archiveType,categorical,202,41,1,1,unboundedArchive,1.0
RE3D,referenceFronts,3000,EP,0.05,createInitialSolutions,categorical,202,11,6,4,oppositionBased,0.36363636363636365
RE3D,referenceFronts,3000,EP,0.1,createInitialSolutions,categorical,202,21,6,5,scatterSearch,0.38095238095238093
RE3D,referenceFronts,3000,EP,0.2,createInitialSolutions,categorical,202,41,6,6,scatterSearch,0.36585365853658536
RE3D,referenceFronts,3000,HV,0.05,createInitialSolutions,categorical,202,11,6,3,cauchy,0.5454545454545454
RE3D,referenceFronts,3000,HV,0.1,createInitialSolutions,categorical,202,21,6,3,cauchy,0.5714285714285714
RE3D,referenceFronts,3000,HV,0.2,createInitialSolutions,categorical,202,41,6,6,cauchy,0.4146341463414634
RE3D,referenceFronts,3000,joint,0.05,createInitialSolutions,categorical,202,11,6,5,oppositionBased,0.36363636363636365
RE3D,referenceFronts,3000,joint,0.1,createInitialSolutions,categorical,202,21,6,5,scatterSearch,0.3333333333333333
RE3D,referenceFronts,3000,joint,0.2,createInitialSolutions,categorical,202,41,6,5,scatterSearch,0.2926829268292683
RE3D,referenceFronts,3000,EP,0.05,crossover,categorical,202,11,4,2,laplace,0.8181818181818182
RE3D,referenceFronts,3000,EP,0.1,crossover,categorical,202,21,4,2,laplace,0.8571428571428571
RE3D,referenceFronts,3000,EP,0.2,crossover,categorical,202,41,4,4,laplace,0.6585365853658537
RE3D,referenceFronts,3000,HV,0.05,crossover,categorical,202,11,4,3,BLX-alpha,0.45454545454545453
RE3D,referenceFronts,3000,HV,0.1,crossover,categorical,202,21,4,3,BLX-alpha,0.5238095238095238
RE3D,referenceFronts,3000,HV,0.2,crossover,categorical,202,41,4,3,BLX-alpha,0.5121951219512195
RE3D,referenceFronts,3000,joint,0.05,crossover,categorical,202,11,4,1,laplace,1.0
RE3D,referenceFronts,3000,joint,0.1,crossover,categorical,202,21,4,1,laplace,1.0
RE3D,referenceFronts,3000,joint,0.2,crossover,categorical,202,41,4,2,laplace,0.7560975609756098
RE3D,referenceFronts,3000,EP,0.05,crossoverRepairStrategy,categorical,202,11,3,1,bounds,1.0
RE3D,referenceFronts,3000,EP,0.1,crossoverRepairStrategy,categorical,202,21,3,1,bounds,1.0
RE3D,referenceFronts,3000,EP,0.2,crossoverRepairStrategy,categorical,202,41,3,1,bounds,1.0
RE3D,referenceFronts,3000,HV,0.05,crossoverRepairStrategy,categorical,202,11,3,1,bounds,1.0
RE3D,referenceFronts,3000,HV,0.1,crossoverRepairStrategy,categorical,202,21,3,1,bounds,1.0
RE3D,referenceFronts,3000,HV,0.2,crossoverRepairStrategy,categorical,202,41,3,2,bounds,0.9512195121951219
RE3D,referenceFronts,3000,joint,0.05,crossoverRepairStrategy,categorical,202,11,3,1,bounds,1.0
RE3D,referenceFronts,3000,joint,0.1,crossoverRepairStrategy,categorical,202,21,3,1,bounds,1.0
RE3D,referenceFronts,3000,joint,0.2,crossoverRepairStrategy,categorical,202,41,3,1,bounds,1.0
RE3D,referenceFronts,3000,EP,0.05,mutation,categorical,202,11,5,2,levyFlight,0.6363636363636364
RE3D,referenceFronts,3000,EP,0.1,mutation,categorical,202,21,5,2,levyFlight,0.7142857142857143
RE3D,referenceFronts,3000,EP,0.2,mutation,categorical,202,41,5,3,levyFlight,0.6341463414634146
RE3D,referenceFronts,3000,HV,0.05,mutation,categorical,202,11,5,2,powerLaw,0.7272727272727273
RE3D,referenceFronts,3000,HV,0.1,mutation,categorical,202,21,5,2,powerLaw,0.5714285714285714
RE3D,referenceFronts,3000,HV,0.2,mutation,categorical,202,41,5,3,powerLaw,0.4878048780487805
RE3D,referenceFronts,3000,joint,0.05,mutation,categorical,202,11,5,2,levyFlight,0.6363636363636364
RE3D,referenceFronts,3000,joint,0.1,mutation,categorical,202,21,5,2,levyFlight,0.7142857142857143
RE3D,referenceFronts,3000,joint,0.2,mutation,categorical,202,41,5,3,levyFlight,0.5609756097560976
RE3D,referenceFronts,3000,EP,0.05,mutationRepairStrategy,categorical,202,11,3,1,bounds,1.0
RE3D,referenceFronts,3000,EP,0.1,mutationRepairStrategy,categorical,202,21,3,1,bounds,1.0
RE3D,referenceFronts,3000,EP,0.2,mutationRepairStrategy,categorical,202,41,3,2,bounds,0.975609756097561
RE3D,referenceFronts,3000,HV,0.05,mutationRepairStrategy,categorical,202,11,3,2,bounds,0.7272727272727273
RE3D,referenceFronts,3000,HV,0.1,mutationRepairStrategy,categorical,202,21,3,2,bounds,0.8571428571428571
RE3D,referenceFronts,3000,HV,0.2,mutationRepairStrategy,categorical,202,41,3,3,bounds,0.8292682926829268
RE3D,referenceFronts,3000,joint,0.05,mutationRepairStrategy,categorical,202,11,3,1,bounds,1.0
RE3D,referenceFronts,3000,joint,0.1,mutationRepairStrategy,categorical,202,21,3,1,bounds,1.0
RE3D,referenceFronts,3000,joint,0.2,mutationRepairStrategy,categorical,202,41,3,3,bounds,0.926829268292683
RE3D,referenceFronts,3000,EP,0.05,offspringPopulationSize,categorical,202,11,6,5,5,0.36363636363636365
RE3D,referenceFronts,3000,EP,0.1,offspringPopulationSize,categorical,202,21,6,6,5,0.2857142857142857
RE3D,referenceFronts,3000,EP,0.2,offspringPopulationSize,categorical,202,41,6,6,20,0.2682926829268293
RE3D,referenceFronts,3000,HV,0.05,offspringPopulationSize,categorical,202,11,6,5,10,0.36363636363636365
RE3D,referenceFronts,3000,HV,0.1,offspringPopulationSize,categorical,202,21,6,6,5,0.5238095238095238
RE3D,referenceFronts,3000,HV,0.2,offspringPopulationSize,categorical,202,41,6,6,5,0.4146341463414634
RE3D,referenceFronts,3000,joint,0.05,offspringPopulationSize,categorical,202,11,6,4,5,0.45454545454545453
