proposal_name,proposal_scope,family,front_type,parameter,parameter_kind,action,original_choice_count,reduced_choice_count,original_range_min,original_range_max,reduced_range_min,reduced_range_max,original_width,reduced_width
RE3D_referenceFronts,family_front_type,RE3D,referenceFronts,variation,categorical,fix,1.0,1.0,,,,,,
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,algorithmResult,categorical,fix,2.0,1.0,,,,,,
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,archiveType,categorical,fix,2.0,1.0,,,,,,
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,blxAlphaBetaCrossoverAlpha,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,blxAlphaBetaCrossoverBeta,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,blxAlphaCrossoverAlpha,double,narrow,,,0.0,1.0,0.925091,0.992104,1.0,0.06701299999999999
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,boltzmannTemperature,double,keep_open,,,0.1,100.0,0.1,100.0,99.9,99.9
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,createInitialSolutions,categorical,keep_open,6.0,6.0,,,,,,
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,crossover,categorical,keep_open,9.0,9.0,,,,,,
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,crossoverProbability,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,crossoverRepairStrategy,categorical,keep_open,3.0,3.0,,,,,,
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,fuzzyRecombinationCrossoverAlpha,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,laplaceCrossoverScale,double,narrow,,,0.1,0.5,0.437177,0.438669,0.4,0.0014919999999999933
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,levyFlightMutationBeta,double,deactivated_by_parent,,,1.0,2.0,,,1.0,
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,levyFlightMutationStepSize,double,deactivated_by_parent,,,0.01,1.0,,,0.99,
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,linkedPolynomialMutationDistributionIndex,double,deactivated_by_parent,,,5.0,400.0,,,395.0,
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,mutation,categorical,fix,6.0,1.0,,,,,,
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,mutationProbabilityFactor,double,keep_open,,,0.0,2.0,0.0,2.0,2.0,2.0
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,mutationRepairStrategy,categorical,fix,3.0,1.0,,,,,,
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,nonUniformMutationPerturbation,double,deactivated_by_parent,,,0.0,1.0,,,1.0,
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,offspringPopulationSize,categorical,keep_open,8.0,8.0,,,,,,
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,pcxCrossoverEta,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,pcxCrossoverZeta,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,polynomialMutationDistributionIndex,double,deactivated_by_parent,,,5.0,400.0,,,395.0,
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,populationSizeWithArchive,integer,narrow,,,10.0,200.0,10.0,22.0,190.0,12.0
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,powerLawMutationDelta,double,keep_open,,,0.1,10.0,0.1,10.0,9.9,9.9
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,sbxDistributionIndex,double,keep_open,,,5.0,400.0,5.0,400.0,395.0,395.0
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,selection,categorical,keep_open,5.0,5.0,,,,,,
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,selectionTournamentSize,integer,keep_open,,,2.0,10.0,2.0,10.0,8.0,8.0
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,undcCrossoverEta,double,keep_open,,,0.1,0.5,0.1,0.5,0.4,0.4
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,undcCrossoverZeta,double,keep_open,,,0.1,1.0,0.1,1.0,0.9,0.9
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,uniformMutationPerturbation,double,deactivated_by_parent,,,0.0,1.0,,,1.0,
RWA3D_extremePointsFronts,family_front_type,RWA3D,extremePointsFronts,variation,categorical,fix,1.0,1.0,,,,,,
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,algorithmResult,categorical,fix,2.0,1.0,,,,,,
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,archiveType,categorical,fix,2.0,1.0,,,,,,
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,blxAlphaBetaCrossoverAlpha,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,blxAlphaBetaCrossoverBeta,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,blxAlphaCrossoverAlpha,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,boltzmannTemperature,double,narrow,,,0.1,100.0,0.98841,1.531233,99.9,0.542823
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,createInitialSolutions,categorical,keep_open,6.0,6.0,,,,,,
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,crossover,categorical,keep_open,9.0,9.0,,,,,,
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,crossoverProbability,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,crossoverRepairStrategy,categorical,keep_open,3.0,3.0,,,,,,
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,fuzzyRecombinationCrossoverAlpha,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,laplaceCrossoverScale,double,keep_open,,,0.1,0.5,0.1,0.5,0.4,0.4
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,levyFlightMutationBeta,double,deactivated_by_parent,,,1.0,2.0,,,1.0,
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,levyFlightMutationStepSize,double,deactivated_by_parent,,,0.01,1.0,,,0.99,
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,linkedPolynomialMutationDistributionIndex,double,deactivated_by_parent,,,5.0,400.0,,,395.0,
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,mutation,categorical,fix,6.0,1.0,,,,,,
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,mutationProbabilityFactor,double,narrow,,,0.0,2.0,1.779213,1.994876,2.0,0.21566300000000016
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,mutationRepairStrategy,categorical,fix,3.0,1.0,,,,,,
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,nonUniformMutationPerturbation,double,deactivated_by_parent,,,0.0,1.0,,,1.0,
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,offspringPopulationSize,categorical,keep_open,8.0,8.0,,,,,,
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,pcxCrossoverEta,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,pcxCrossoverZeta,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,polynomialMutationDistributionIndex,double,deactivated_by_parent,,,5.0,400.0,,,395.0,
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,populationSizeWithArchive,integer,narrow,,,10.0,200.0,129.0,199.0,190.0,70.0
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,powerLawMutationDelta,double,keep_open,,,0.1,10.0,0.1,10.0,9.9,9.9
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,sbxDistributionIndex,double,keep_open,,,5.0,400.0,5.0,400.0,395.0,395.0
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,selection,categorical,keep_open,5.0,5.0,,,,,,
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,selectionTournamentSize,integer,keep_open,,,2.0,10.0,2.0,10.0,8.0,8.0
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,undcCrossoverEta,double,keep_open,,,0.1,0.5,0.1,0.5,0.4,0.4
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,undcCrossoverZeta,double,keep_open,,,0.1,1.0,0.1,1.0,0.9,0.9
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,uniformMutationPerturbation,double,deactivated_by_parent,,,0.0,1.0,,,1.0,
RWA3D_referenceFronts,family_front_type,RWA3D,referenceFronts,variation,categorical,fix,1.0,1.0,,,,,,
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,algorithmResult,categorical,fix,2.0,1.0,,,,,,
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,archiveType,categorical,fix,2.0,1.0,,,,,,
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,blxAlphaBetaCrossoverAlpha,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,blxAlphaBetaCrossoverBeta,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,blxAlphaCrossoverAlpha,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,boltzmannTemperature,double,keep_open,,,0.1,100.0,0.1,100.0,99.9,99.9
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,createInitialSolutions,categorical,keep_open,6.0,6.0,,,,,,
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,crossover,categorical,keep_open,9.0,9.0,,,,,,
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,crossoverProbability,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,crossoverRepairStrategy,categorical,keep_open,3.0,3.0,,,,,,
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,fuzzyRecombinationCrossoverAlpha,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,laplaceCrossoverScale,double,keep_open,,,0.1,0.5,0.1,0.5,0.4,0.4
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,levyFlightMutationBeta,double,keep_open,,,1.0,2.0,1.0,2.0,1.0,1.0
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,levyFlightMutationStepSize,double,keep_open,,,0.01,1.0,0.01,1.0,0.99,0.99
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,linkedPolynomialMutationDistributionIndex,double,keep_open,,,5.0,400.0,5.0,400.0,395.0,395.0
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,mutation,categorical,keep_open,6.0,6.0,,,,,,
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,mutationProbabilityFactor,double,keep_open,,,0.0,2.0,0.0,2.0,2.0,2.0
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,mutationRepairStrategy,categorical,keep_open,3.0,3.0,,,,,,
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,nonUniformMutationPerturbation,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,offspringPopulationSize,categorical,keep_open,8.0,8.0,,,,,,
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,pcxCrossoverEta,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,pcxCrossoverZeta,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,polynomialMutationDistributionIndex,double,keep_open,,,5.0,400.0,5.0,400.0,395.0,395.0
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,populationSizeWithArchive,integer,narrow,,,10.0,200.0,69.0,133.0,190.0,64.0
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,powerLawMutationDelta,double,keep_open,,,0.1,10.0,0.1,10.0,9.9,9.9
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,sbxDistributionIndex,double,keep_open,,,5.0,400.0,5.0,400.0,395.0,395.0
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,selection,categorical,keep_open,5.0,5.0,,,,,,
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,selectionTournamentSize,integer,keep_open,,,2.0,10.0,2.0,10.0,8.0,8.0
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,undcCrossoverEta,double,keep_open,,,0.1,0.5,0.1,0.5,0.4,0.4
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,undcCrossoverZeta,double,keep_open,,,0.1,1.0,0.1,1.0,0.9,0.9
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,uniformMutationPerturbation,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
global_extremePointsFronts,global_front_type,ALL,extremePointsFronts,variation,categorical,fix,1.0,1.0,,,,,,
global_referenceFronts,global_front_type,ALL,referenceFronts,algorithmResult,categorical,fix,2.0,1.0,,,,,,
global_referenceFronts,global_front_type,ALL,referenceFronts,archiveType,categorical,fix,2.0,1.0,,,,,,
global_referenceFronts,global_front_type,ALL,referenceFronts,blxAlphaBetaCrossoverAlpha,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
global_referenceFronts,global_front_type,ALL,referenceFronts,blxAlphaBetaCrossoverBeta,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
global_referenceFronts,global_front_type,ALL,referenceFronts,blxAlphaCrossoverAlpha,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
global_referenceFronts,global_front_type,ALL,referenceFronts,boltzmannTemperature,double,keep_open,,,0.1,100.0,0.1,100.0,99.9,99.9
global_referenceFronts,global_front_type,ALL,referenceFronts,createInitialSolutions,categorical,keep_open,6.0,6.0,,,,,,
global_referenceFronts,global_front_type,ALL,referenceFronts,crossover,categorical,keep_open,9.0,9.0,,,,,,
global_referenceFronts,global_front_type,ALL,referenceFronts,crossoverProbability,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
global_referenceFronts,global_front_type,ALL,referenceFronts,crossoverRepairStrategy,categorical,keep_open,3.0,3.0,,,,,,
global_referenceFronts,global_front_type,ALL,referenceFronts,fuzzyRecombinationCrossoverAlpha,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
global_referenceFronts,global_front_type,ALL,referenceFronts,laplaceCrossoverScale,double,keep_open,,,0.1,0.5,0.1,0.5,0.4,0.4
global_referenceFronts,global_front_type,ALL,referenceFronts,levyFlightMutationBeta,double,keep_open,,,1.0,2.0,1.0,2.0,1.0,1.0
global_referenceFronts,global_front_type,ALL,referenceFronts,levyFlightMutationStepSize,double,keep_open,,,0.01,1.0,0.01,1.0,0.99,0.99
global_referenceFronts,global_front_type,ALL,referenceFronts,linkedPolynomialMutationDistributionIndex,double,keep_open,,,5.0,400.0,5.0,400.0,395.0,395.0
global_referenceFronts,global_front_type,ALL,referenceFronts,mutation,categorical,keep_open,6.0,6.0,,,,,,
global_referenceFronts,global_front_type,ALL,referenceFronts,mutationProbabilityFactor,double,keep_open,,,0.0,2.0,0.0,2.0,2.0,2.0
global_referenceFronts,global_front_type,ALL,referenceFronts,mutationRepairStrategy,categorical,keep_open,3.0,3.0,,,,,,
global_referenceFronts,global_front_type,ALL,referenceFronts,nonUniformMutationPerturbation,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
global_referenceFronts,global_front_type,ALL,referenceFronts,offspringPopulationSize,categorical,keep_open,8.0,8.0,,,,,,
global_referenceFronts,global_front_type,ALL,referenceFronts,pcxCrossoverEta,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
global_referenceFronts,global_front_type,ALL,referenceFronts,pcxCrossoverZeta,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
global_referenceFronts,global_front_type,ALL,referenceFronts,polynomialMutationDistributionIndex,double,keep_open,,,5.0,400.0,5.0,400.0,395.0,395.0
global_referenceFronts,global_front_type,ALL,referenceFronts,populationSizeWithArchive,integer,keep_open,,,10.0,200.0,10.0,200.0,190.0,190.0
global_referenceFronts,global_front_type,ALL,referenceFronts,powerLawMutationDelta,double,keep_open,,,0.1,10.0,0.1,10.0,9.9,9.9
global_referenceFronts,global_front_type,ALL,referenceFronts,sbxDistributionIndex,double,keep_open,,,5.0,400.0,5.0,400.0,395.0,395.0
global_referenceFronts,global_front_type,ALL,referenceFronts,selection,categorical,keep_open,5.0,5.0,,,,,,
global_referenceFronts,global_front_type,ALL,referenceFronts,selectionTournamentSize,integer,keep_open,,,2.0,10.0,2.0,10.0,8.0,8.0
global_referenceFronts,global_front_type,ALL,referenceFronts,undcCrossoverEta,double,keep_open,,,0.1,0.5,0.1,0.5,0.4,0.4
global_referenceFronts,global_front_type,ALL,referenceFronts,undcCrossoverZeta,double,keep_open,,,0.1,1.0,0.1,1.0,0.9,0.9
global_referenceFronts,global_front_type,ALL,referenceFronts,uniformMutationPerturbation,double,keep_open,,,0.0,1.0,0.0,1.0,1.0,1.0
global_referenceFronts,global_front_type,ALL,referenceFronts,variation,categorical,fix,1.0,1.0,,,,,,
