problem,dataset,budget,run,convergence_eval
RE3D,extremePointsFronts,5000,25,2100
RE3D,extremePointsFronts,5000,26,2300
RE3D,extremePointsFronts,5000,27,2100
RE3D,extremePointsFronts,5000,28,1200
RE3D,extremePointsFronts,5000,29,2100
RE3D,extremePointsFronts,5000,30,2000
RE3D,extremePointsFronts,7000,1,1100
RE3D,extremePointsFronts,7000,2,1200
RE3D,extremePointsFronts,7000,3,1300
RE3D,extremePointsFronts,7000,4,2100
RE3D,extremePointsFronts,7000,5,1500
RE3D,extremePointsFronts,7000,6,1200
RE3D,extremePointsFronts,7000,7,1100
RE3D,extremePointsFronts,7000,8,600
RE3D,extremePointsFronts,7000,9,3000
RE3D,extremePointsFronts,7000,10,1000
RE3D,extremePointsFronts,7000,11,1000
RE3D,extremePointsFronts,7000,12,700
RE3D,extremePointsFronts,7000,13,2100
RE3D,extremePointsFronts,7000,14,800
RE3D,extremePointsFronts,7000,15,1500
RE3D,extremePointsFronts,7000,16,1600
RE3D,extremePointsFronts,7000,17,1100
RE3D,extremePointsFronts,7000,18,1400
RE3D,extremePointsFronts,7000,19,800
RE3D,extremePointsFronts,7000,20,2100
RE3D,extremePointsFronts,7000,21,1400
RE3D,extremePointsFronts,7000,22,1100
RE3D,extremePointsFronts,7000,23,1300
RE3D,extremePointsFronts,7000,24,800
RE3D,extremePointsFronts,7000,25,1800
RE3D,extremePointsFronts,7000,26,1100
RE3D,extremePointsFronts,7000,27,2500
RE3D,extremePointsFronts,7000,28,1000
RE3D,extremePointsFronts,7000,29,1200
RE3D,extremePointsFronts,7000,30,900
RE3D,referenceFronts,1000,1,1000
RE3D,referenceFronts,1000,2,1800
RE3D,referenceFronts,1000,3,1000
RE3D,referenceFronts,1000,4,800
RE3D,referenceFronts,1000,5,1900
RE3D,referenceFronts,1000,6,1000
RE3D,referenceFronts,1000,7,1400
RE3D,referenceFronts,1000,8,800
RE3D,referenceFronts,1000,9,1500
RE3D,referenceFronts,1000,10,1000
RE3D,referenceFronts,1000,11,1000
RE3D,referenceFronts,1000,12,1100
RE3D,referenceFronts,1000,13,1700
RE3D,referenceFronts,1000,14,1800
RE3D,referenceFronts,1000,15,2100
RE3D,referenceFronts,1000,16,1800
RE3D,referenceFronts,1000,17,1200
RE3D,referenceFronts,1000,18,1900
RE3D,referenceFronts,1000,19,800
RE3D,referenceFronts,1000,20,1000
RE3D,referenceFronts,1000,21,1600
RE3D,referenceFronts,1000,22,2200
RE3D,referenceFronts,1000,23,1600
RE3D,referenceFronts,1000,24,1400
RE3D,referenceFronts,1000,25,1100
RE3D,referenceFronts,1000,26,1800
RE3D,referenceFronts,1000,27,1000
RE3D,referenceFronts,1000,28,800
RE3D,referenceFronts,1000,29,900
RE3D,referenceFronts,1000,30,1300
RE3D,referenceFronts,3000,1,700
RE3D,referenceFronts,3000,2,1000
RE3D,referenceFronts,3000,3,1700
RE3D,referenceFronts,3000,4,1200
RE3D,referenceFronts,3000,5,1300
RE3D,referenceFronts,3000,6,900
RE3D,referenceFronts,3000,7,1300
RE3D,referenceFronts,3000,8,900
RE3D,referenceFronts,3000,9,1200
RE3D,referenceFronts,3000,10,1100
RE3D,referenceFronts,3000,11,2300
RE3D,referenceFronts,3000,12,1600
RE3D,referenceFronts,3000,13,1700
RE3D,referenceFronts,3000,14,1400
RE3D,referenceFronts,3000,15,1200
RE3D,referenceFronts,3000,16,1100
RE3D,referenceFronts,3000,17,1100
RE3D,referenceFronts,3000,18,1000
RE3D,referenceFronts,3000,19,900
RE3D,referenceFronts,3000,20,1500
RE3D,referenceFronts,3000,21,1100
RE3D,referenceFronts,3000,22,1400
RE3D,referenceFronts,3000,23,900
RE3D,referenceFronts,3000,24,1600
RE3D,referenceFronts,3000,25,1300
RE3D,referenceFronts,3000,26,1800
RE3D,referenceFronts,3000,27,1700
RE3D,referenceFronts,3000,28,800
RE3D,referenceFronts,3000,29,1000
RE3D,referenceFronts,3000,30,2400
RE3D,referenceFronts,5000,1,1200
RE3D,referenceFronts,5000,2,800
RE3D,referenceFronts,5000,3,1200
RE3D,referenceFronts,5000,4,1000
RE3D,referenceFronts,5000,5,1700
RE3D,referenceFronts,5000,6,1700
RE3D,referenceFronts,5000,7,1800
RE3D,referenceFronts,5000,8,1300
RE3D,referenceFronts,5000,9,1500
RE3D,referenceFronts,5000,10,600
RE3D,referenceFronts,5000,11,1700
RE3D,referenceFronts,5000,12,1900
RE3D,referenceFronts,5000,13,1400
RE3D,referenceFronts,5000,14,900
RE3D,referenceFronts,5000,15,1300
RE3D,referenceFronts,5000,16,1400
RE3D,referenceFronts,5000,17,1800
RE3D,referenceFronts,5000,18,800
RE3D,referenceFronts,5000,19,700
RE3D,referenceFronts,5000,20,1600
RE3D,referenceFronts,5000,21,1400
RE3D,referenceFronts,5000,22,1500
RE3D,referenceFronts,5000,23,2100
RE3D,referenceFronts,5000,24,700
RE3D,referenceFronts,5000,25,1800
RE3D,referenceFronts,5000,26,2100
RE3D,referenceFronts,5000,27,2000
RE3D,referenceFronts,5000,28,1400
RE3D,referenceFronts,5000,29,1500
RE3D,referenceFronts,5000,30,1000
RE3D,referenceFronts,7000,1,1000
RE3D,referenceFronts,7000,2,2800
RE3D,referenceFronts,7000,3,1300
RE3D,referenceFronts,7000,4,1400
RE3D,referenceFronts,7000,5,1100
RE3D,referenceFronts,7000,6,1300
RE3D,referenceFronts,7000,7,2600
RE3D,referenceFronts,7000,8,1300
RE3D,referenceFronts,7000,9,800
RE3D,referenceFronts,7000,10,1200
RE3D,referenceFronts,7000,11,1200
RE3D,referenceFronts,7000,12,1100
RE3D,referenceFronts,7000,13,1000
RE3D,referenceFronts,7000,14,2400
RE3D,referenceFronts,7000,15,1900
RE3D,referenceFronts,7000,16,1500
RE3D,referenceFronts,7000,17,1000
RE3D,referenceFronts,7000,18,1000
RE3D,referenceFronts,7000,19,1600
RE3D,referenceFronts,7000,20,1100
RE3D,referenceFronts,7000,21,700
RE3D,referenceFronts,7000,22,700
RE3D,referenceFronts,7000,23,1000
RE3D,referenceFronts,7000,24,800
RE3D,referenceFronts,7000,25,600
RE3D,referenceFronts,7000,26,600
RE3D,referenceFronts,7000,27,1600
RE3D,referenceFronts,7000,28,1300
RE3D,referenceFronts,7000,29,1700
RE3D,referenceFronts,7000,30,1300
RWA3D,extremePointsFronts,1000,1,900
RWA3D,extremePointsFronts,1000,2,1000
RWA3D,extremePointsFronts,1000,3,800
RWA3D,extremePointsFronts,1000,4,1500
RWA3D,extremePointsFronts,1000,5,1100
RWA3D,extremePointsFronts,1000,6,1700
RWA3D,extremePointsFronts,1000,7,1300
RWA3D,extremePointsFronts,1000,8,1300
RWA3D,extremePointsFronts,1000,9,1100
RWA3D,extremePointsFronts,1000,10,1400
RWA3D,extremePointsFronts,1000,11,1500
RWA3D,extremePointsFronts,1000,12,2600
RWA3D,extremePointsFronts,1000,13,1600
RWA3D,extremePointsFronts,1000,14,1700
RWA3D,extremePointsFronts,1000,15,1800
RWA3D,extremePointsFronts,1000,16,1200
RWA3D,extremePointsFronts,1000,17,1300
RWA3D,extremePointsFronts,1000,18,1300
RWA3D,extremePointsFronts,1000,19,1200
RWA3D,extremePointsFronts,1000,20,1500
RWA3D,extremePointsFronts,1000,21,1000
RWA3D,extremePointsFronts,1000,22,1300
RWA3D,extremePointsFronts,1000,23,1200
RWA3D,extremePointsFronts,1000,24,1300
RWA3D,extremePointsFronts,1000,25,1300
RWA3D,extremePointsFronts,1000,26,1200
RWA3D,extremePointsFronts,1000,27,1200
RWA3D,extremePointsFronts,1000,28,1500
RWA3D,extremePointsFronts,1000,29,1600
RWA3D,extremePointsFronts,1000,30,1800
RWA3D,extremePointsFronts,3000,1,1900
RWA3D,extremePointsFronts,3000,2,1100
RWA3D,extremePointsFronts,3000,3,1900
RWA3D,extremePointsFronts,3000,4,1400
RWA3D,extremePointsFronts,3000,5,1400
RWA3D,extremePointsFronts,3000,6,1100
RWA3D,extremePointsFronts,3000,7,3000
RWA3D,extremePointsFronts,3000,8,1200
RWA3D,extremePointsFronts,3000,9,1500
RWA3D,extremePointsFronts,3000,10,2100
RWA3D,extremePointsFronts,3000,11,1700
RWA3D,extremePointsFronts,3000,12,800
RWA3D,extremePointsFronts,3000,13,1500
RWA3D,extremePointsFronts,3000,14,1500
RWA3D,extremePointsFronts,3000,15,1500
RWA3D,extremePointsFronts,3000,16,1400
RWA3D,extremePointsFronts,3000,17,1200
RWA3D,extremePointsFronts,3000,18,1400
RWA3D,extremePointsFronts,3000,19,1500
RWA3D,extremePointsFronts,3000,20,1500
RWA3D,extremePointsFronts,3000,21,1200
RWA3D,extremePointsFronts,3000,22,1900
RWA3D,extremePointsFronts,3000,23,2500
RWA3D,extremePointsFronts,3000,24,2000
RWA3D,extremePointsFronts,3000,25,1500
RWA3D,extremePointsFronts,3000,26,1400
RWA3D,extremePointsFronts,3000,27,1700
RWA3D,extremePointsFronts,3000,28,1700
RWA3D,extremePointsFronts,3000,29,1400
RWA3D,extremePointsFronts,3000,30,2200
RWA3D,extremePointsFronts,5000,1,1300
RWA3D,extremePointsFronts,5000,2,2200
RWA3D,extremePointsFronts,5000,3,1200
RWA3D,extremePointsFronts,5000,4,1100
RWA3D,extremePointsFronts,5000,5,1300
RWA3D,extremePointsFronts,5000,6,1000
RWA3D,extremePointsFronts,5000,7,1400
RWA3D,extremePointsFronts,5000,8,1400
RWA3D,extremePointsFronts,5000,9,1000
RWA3D,extremePointsFronts,5000,10,700
RWA3D,extremePointsFronts,5000,11,1800
RWA3D,extremePointsFronts,5000,12,1800
RWA3D,extremePointsFronts,5000,13,1100
RWA3D,extremePointsFronts,5000,14,1100
RWA3D,extremePointsFronts,5000,15,700
RWA3D,extremePointsFronts,5000,16,1000
RWA3D,extremePointsFronts,5000,17,1800
RWA3D,extremePointsFronts,5000,18,1500
RWA3D,extremePointsFronts,5000,19,2200
RWA3D,extremePointsFronts,5000,20,600
RWA3D,extremePointsFronts,5000,21,1100
RWA3D,extremePointsFronts,5000,22,2600
RWA3D,extremePointsFronts,5000,23,1200
RWA3D,extremePointsFronts,5000,24,2000
RWA3D,extremePointsFronts,5000,25,900
RWA3D,extremePointsFronts,5000,26,700
RWA3D,extremePointsFronts,5000,27,1400
RWA3D,extremePointsFronts,5000,28,2000
RWA3D,extremePointsFronts,5000,29,2900
RWA3D,extremePointsFronts,5000,30,1800
RWA3D,extremePointsFronts,7000,1,1800
RWA3D,extremePointsFronts,7000,2,1000
RWA3D,extremePointsFronts,7000,3,1300
RWA3D,extremePointsFronts,7000,4,1600
RWA3D,extremePointsFronts,7000,5,1800
RWA3D,extremePointsFronts,7000,6,1700
RWA3D,extremePointsFronts,7000,7,1500
RWA3D,extremePointsFronts,7000,8,2200
RWA3D,extremePointsFronts,7000,9,1700
RWA3D,extremePointsFronts,7000,10,1100
RWA3D,extremePointsFronts,7000,11,1400
RWA3D,extremePointsFronts,7000,12,1300
RWA3D,extremePointsFronts,7000,13,1000
RWA3D,extremePointsFronts,7000,14,2600
RWA3D,extremePointsFronts,7000,15,2000
RWA3D,extremePointsFronts,7000,16,1500
RWA3D,extremePointsFronts,7000,17,1600
RWA3D,extremePointsFronts,7000,18,1500
RWA3D,extremePointsFronts,7000,19,900
RWA3D,extremePointsFronts,7000,20,1000
RWA3D,extremePointsFronts,7000,21,1700
RWA3D,extremePointsFronts,7000,22,1100
RWA3D,extremePointsFronts,7000,23,2300
RWA3D,extremePointsFronts,7000,24,1800
RWA3D,extremePointsFronts,7000,25,1600
RWA3D,extremePointsFronts,7000,26,1300
RWA3D,extremePointsFronts,7000,27,2100
RWA3D,extremePointsFronts,7000,28,1600
RWA3D,extremePointsFronts,7000,29,1600
RWA3D,extremePointsFronts,7000,30,1100
RWA3D,referenceFronts,1000,1,1100
RWA3D,referenceFronts,1000,2,900
RWA3D,referenceFronts,1000,3,1600
RWA3D,referenceFronts,1000,4,800
RWA3D,referenceFronts,1000,5,1600
RWA3D,referenceFronts,1000,6,1100
RWA3D,referenceFronts,1000,7,900
RWA3D,referenceFronts,1000,8,1000
RWA3D,referenceFronts,1000,9,1800
RWA3D,referenceFronts,1000,10,900
RWA3D,referenceFronts,1000,11,1500
RWA3D,referenceFronts,1000,12,900
RWA3D,referenceFronts,1000,13,800
RWA3D,referenceFronts,1000,14,1100
RWA3D,referenceFronts,1000,15,1000
RWA3D,referenceFronts,1000,16,700
RWA3D,referenceFronts,1000,17,1100
RWA3D,referenceFronts,1000,18,800
RWA3D,referenceFronts,1000,19,800
RWA3D,referenceFronts,1000,20,1000
RWA3D,referenceFronts,1000,21,900
RWA3D,referenceFronts,1000,22,1000
RWA3D,referenceFronts,1000,23,1500
RWA3D,referenceFronts,1000,24,900
RWA3D,referenceFronts,1000,25,900
RWA3D,referenceFronts,1000,26,1300
RWA3D,referenceFronts,1000,27,1100
RWA3D,referenceFronts,1000,28,1200
RWA3D,referenceFronts,1000,29,1000
RWA3D,referenceFronts,1000,30,1300
RWA3D,referenceFronts,3000,1,1200
RWA3D,referenceFronts,3000,2,1400
RWA3D,referenceFronts,3000,3,800
RWA3D,referenceFronts,3000,4,2400
RWA3D,referenceFronts,3000,5,1200
RWA3D,referenceFronts,3000,6,1600
RWA3D,referenceFronts,3000,7,1900
RWA3D,referenceFronts,3000,8,1500
RWA3D,referenceFronts,3000,9,1100
RWA3D,referenceFronts,3000,10,2200
RWA3D,referenceFronts,3000,11,1100
RWA3D,referenceFronts,3000,12,1400
RWA3D,referenceFronts,3000,13,900
RWA3D,referenceFronts,3000,14,700
RWA3D,referenceFronts,3000,15,1000
RWA3D,referenceFronts,3000,16,1100
RWA3D,referenceFronts,3000,17,1000
RWA3D,referenceFronts,3000,18,2400
RWA3D,referenceFronts,3000,19,1000
RWA3D,referenceFronts,3000,20,1000
RWA3D,referenceFronts,3000,21,1000
RWA3D,referenceFronts,3000,22,900
RWA3D,referenceFronts,3000,23,700
RWA3D,referenceFronts,3000,24,1000
RWA3D,referenceFronts,3000,25,1000
RWA3D,referenceFronts,3000,26,900
RWA3D,referenceFronts,3000,27,1200
RWA3D,referenceFronts,3000,28,1000
RWA3D,referenceFronts,3000,29,1400
RWA3D,referenceFronts,3000,30,1400
RWA3D,referenceFronts,5000,1,2000
RWA3D,referenceFronts,5000,2,1100
RWA3D,referenceFronts,5000,3,2600
RWA3D,referenceFronts,5000,4,1200
RWA3D,referenceFronts,5000,5,2600
RWA3D,referenceFronts,5000,6,2000
RWA3D,referenceFronts,5000,7,1300
RWA3D,referenceFronts,5000,8,1500
RWA3D,referenceFronts,5000,9,2300
RWA3D,referenceFronts,5000,10,1300
RWA3D,referenceFronts,5000,11,1500
RWA3D,referenceFronts,5000,12,1500
RWA3D,referenceFronts,5000,13,2100
RWA3D,referenceFronts,5000,14,2400
RWA3D,referenceFronts,5000,15,700
RWA3D,referenceFronts,5000,16,1500
RWA3D,referenceFronts,5000,17,1600
RWA3D,referenceFronts,5000,18,1200
RWA3D,referenceFronts,5000,19,1400
RWA3D,referenceFronts,5000,20,1000
RWA3D,referenceFronts,5000,21,1500
RWA3D,referenceFronts,5000,22,1300
RWA3D,referenceFronts,5000,23,1900
RWA3D,referenceFronts,5000,24,800
RWA3D,referenceFronts,5000,25,800
RWA3D,referenceFronts,5000,26,1100
RWA3D,referenceFronts,5000,27,1300
RWA3D,referenceFronts,5000,28,800
RWA3D,referenceFronts,5000,29,2600
RWA3D,referenceFronts,5000,30,1300
RWA3D,referenceFronts,7000,1,1700
RWA3D,referenceFronts,7000,2,800
RWA3D,referenceFronts,7000,3,500
RWA3D,referenceFronts,7000,4,1100
RWA3D,referenceFronts,7000,5,1800
RWA3D,referenceFronts,7000,6,2200
RWA3D,referenceFronts,7000,7,2200
RWA3D,referenceFronts,7000,8,1400
RWA3D,referenceFronts,7000,9,1500
RWA3D,referenceFronts,7000,10,2700
RWA3D,referenceFronts,7000,11,1400
RWA3D,referenceFronts,7000,12,1000
RWA3D,referenceFronts,7000,13,800
RWA3D,referenceFronts,7000,14,800
RWA3D,referenceFronts,7000,15,1700
RWA3D,referenceFronts,7000,16,2500
RWA3D,referenceFronts,7000,17,1100
RWA3D,referenceFronts,7000,18,1500
RWA3D,referenceFronts,7000,19,1300
RWA3D,referenceFronts,7000,20,2300
RWA3D,referenceFronts,7000,21,2800
RWA3D,referenceFronts,7000,22,1900
RWA3D,referenceFronts,7000,23,2200
RWA3D,referenceFronts,7000,24,2400
RWA3D,referenceFronts,7000,25,1500
RWA3D,referenceFronts,7000,26,600
RWA3D,referenceFronts,7000,27,800
RWA3D,referenceFronts,7000,28,2100
RWA3D,referenceFronts,7000,29,1300
RWA3D,referenceFronts,7000,30,1900
