front_type,budget,indicator,consensus_rank,parameter_family,consensus_importance,RE3D_normalized_importance,RWA3D_normalized_importance
estimatedReferenceFronts,7000,HVMinus,8,laplaceCrossoverScale,0.02183070542238794,0.042936978772607944,0.0007244320721679362
estimatedReferenceFronts,7000,HVMinus,9,populationSizeWithArchive,0.019257009337697938,0.014495374631657582,0.02401864404373829
estimatedReferenceFronts,7000,HVMinus,10,mutationProbabilityFactor,0.019116733290451812,0.020014181852317518,0.01821928472858611
estimatedReferenceFronts,7000,HVMinus,11,boltzmannTemperature,0.013563762527477465,0.003198354006901759,0.02392917104805317
estimatedReferenceFronts,7000,HVMinus,12,createInitialSolutions,0.007085050116271549,0.005327773496731267,0.008842326735811831
estimatedReferenceFronts,7000,HVMinus,13,offspringPopulationSize,0.007067382817569598,0.006198833414182779,0.007935932220956416
estimatedReferenceFronts,7000,HVMinus,14,linkedPolynomialMutationDistributionIndex,0.00643560613584592,0.01287121227169184,0.0
estimatedReferenceFronts,7000,HVMinus,15,mutationRepairStrategy,0.005522086856654578,0.004437653508978327,0.006606520204330828
estimatedReferenceFronts,7000,HVMinus,16,pcxCrossoverZeta,0.004872716110353638,0.002805955406259848,0.006939476814447428
estimatedReferenceFronts,7000,HVMinus,17,levyFlightMutationStepSize,0.0045333336478670105,0.004393050301160915,0.004673616994573106
estimatedReferenceFronts,7000,HVMinus,18,pcxCrossoverEta,0.004442662970822022,0.0032457511249171715,0.0056395748167268715
estimatedReferenceFronts,7000,HVMinus,19,crossover,0.004409192756998553,0.00370068458790002,0.005117700926097087
estimatedReferenceFronts,7000,HVMinus,20,selectionTournamentSize,0.004408019955807788,0.003924554906144837,0.0048914850054707385
estimatedReferenceFronts,7000,HVMinus,21,uniformMutationPerturbation,0.003986318311330559,0.0003456918871586555,0.007626944735502464
estimatedReferenceFronts,7000,HVMinus,22,blxAlphaBetaCrossoverAlpha,0.0036648548711444877,0.0013988743398361063,0.0059308354024528685
estimatedReferenceFronts,7000,HVMinus,23,selection,0.003570252842267062,0.0027923613399729124,0.004348144344561212
estimatedReferenceFronts,7000,HVMinus,24,crossoverRepairStrategy,0.003118448258001972,0.0013770486623316492,0.004859847853672295
estimatedReferenceFronts,7000,HVMinus,25,undcCrossoverEta,0.0030014546846493543,0.0012805268360487618,0.004722382533249947
estimatedReferenceFronts,7000,HVMinus,26,undcCrossoverZeta,0.003000954263318762,0.0014457637579932217,0.004556144768644302
estimatedReferenceFronts,7000,HVMinus,27,blxAlphaBetaCrossoverBeta,0.0017804292142159046,0.0007732942823012015,0.002787564146130608
estimatedReferenceFronts,7000,HVMinus,28,blxAlphaCrossoverAlpha,0.0013773412954388425,0.0006974053387523561,0.002057277252125329
estimatedReferenceFronts,7000,HVMinus,29,algorithmResult,0.0006996267421975997,0.0008046319894688084,0.000594621494926391
estimatedReferenceFronts,7000,HVMinus,30,fuzzyRecombinationCrossoverAlpha,2.5004619587356745e-05,1.5735471908521453e-05,3.427376726619204e-05
