family,front_type,budget,parameter,n,median,q25,q75
RE3D,extremePointsFronts,1000,offspringPopulationSize,30,5.0,5.0,10.0
RE3D,referenceFronts,1000,offspringPopulationSize,30,5.0,1.0,10.0
RE3D,extremePointsFronts,3000,offspringPopulationSize,30,10.0,6.25,42.5
RE3D,referenceFronts,3000,offspringPopulationSize,30,10.0,5.0,20.0
RE3D,extremePointsFronts,5000,offspringPopulationSize,30,20.0,10.0,50.0
RE3D,referenceFronts,5000,offspringPopulationSize,30,10.0,5.0,20.0
RE3D,extremePointsFronts,7000,offspringPopulationSize,30,50.0,10.0,87.5
RE3D,referenceFronts,7000,offspringPopulationSize,30,10.0,5.0,42.5
RE3D,extremePointsFronts,1000,populationSizeWithArchive,30,21.0,17.0,33.25
RE3D,referenceFronts,1000,populationSizeWithArchive,30,24.0,19.0,36.5
RE3D,extremePointsFronts,3000,populationSizeWithArchive,30,39.0,31.0,75.75
RE3D,referenceFronts,3000,populationSizeWithArchive,30,46.5,34.0,78.0
RE3D,extremePointsFronts,5000,populationSizeWithArchive,30,59.0,33.25,93.0
RE3D,referenceFronts,5000,populationSizeWithArchive,30,62.5,32.0,110.5
RE3D,extremePointsFronts,7000,populationSizeWithArchive,30,113.5,98.5,134.75
RE3D,referenceFronts,7000,populationSizeWithArchive,30,95.0,31.5,152.5
RE3D,extremePointsFronts,1000,powerLawMutationDelta,8,8.204501857117005,7.670039589997671,8.306729822574525
RE3D,referenceFronts,1000,powerLawMutationDelta,11,8.268453080882276,7.153106840962256,9.264176258666447
RE3D,extremePointsFronts,3000,powerLawMutationDelta,15,7.8050697544461665,6.639488628828185,8.672561798442418
RE3D,referenceFronts,3000,powerLawMutationDelta,9,7.514051120745748,6.398216036678016,7.90438239194981
RE3D,extremePointsFronts,5000,powerLawMutationDelta,10,7.881708971085397,7.63736893102616,8.565168552576106
RE3D,referenceFronts,5000,powerLawMutationDelta,13,8.271269881428786,6.394933433267152,9.087884103176991
RE3D,extremePointsFronts,7000,powerLawMutationDelta,10,5.304007641129935,4.988874941160079,8.317008548561827
RE3D,referenceFronts,7000,powerLawMutationDelta,14,6.069502335181584,4.927185269120903,6.8964150081040305
RWA3D,extremePointsFronts,1000,blxAlphaBetaCrossoverAlpha,17,0.8973561307479142,0.7925394697233418,0.9422809579430552
RWA3D,referenceFronts,1000,blxAlphaBetaCrossoverAlpha,25,0.920643417276343,0.7859217355301078,0.9737212827847364
RWA3D,extremePointsFronts,3000,blxAlphaBetaCrossoverAlpha,18,0.8659899233737458,0.7396212349576148,0.9820170125910019
RWA3D,referenceFronts,3000,blxAlphaBetaCrossoverAlpha,16,0.8943492302642193,0.7767872948063341,0.9657207652653947
RWA3D,extremePointsFronts,5000,blxAlphaBetaCrossoverAlpha,14,0.8207019163571896,0.7662092462226485,0.9253233429193304
RWA3D,referenceFronts,5000,blxAlphaBetaCrossoverAlpha,18,0.7720096881154326,0.6551511111399182,0.8952551662212667
RWA3D,extremePointsFronts,7000,blxAlphaBetaCrossoverAlpha,11,0.7590381575640638,0.6244995601680935,0.8333656510770393
RWA3D,referenceFronts,7000,blxAlphaBetaCrossoverAlpha,9,0.8746211975909489,0.8222013254822672,0.8928754374255187
RWA3D,extremePointsFronts,1000,blxAlphaBetaCrossoverBeta,17,0.5189284981075294,0.4384080879370393,0.6175653433588838
RWA3D,referenceFronts,1000,blxAlphaBetaCrossoverBeta,25,0.5067777965224665,0.3532406338543666,0.6941296400638796
RWA3D,extremePointsFronts,3000,blxAlphaBetaCrossoverBeta,18,0.814544300248351,0.7736690529622972,0.9195991817254381
RWA3D,referenceFronts,3000,blxAlphaBetaCrossoverBeta,16,0.7859683753677005,0.7165387972851059,0.8850214786195749
RWA3D,extremePointsFronts,5000,blxAlphaBetaCrossoverBeta,14,0.8172323690758453,0.7108295505274873,0.908161734949996
RWA3D,referenceFronts,5000,blxAlphaBetaCrossoverBeta,18,0.6069346608845159,0.49020530290740866,0.8147122551814556
RWA3D,extremePointsFronts,7000,blxAlphaBetaCrossoverBeta,11,0.6008437150589022,0.5810501202237837,0.8232321168998002
RWA3D,referenceFronts,7000,blxAlphaBetaCrossoverBeta,9,0.6661147800121068,0.4319941886060712,0.8868069279516517
RWA3D,extremePointsFronts,1000,blxAlphaCrossoverAlpha,13,0.8887951252941553,0.859377931113581,0.9662804209342324
RWA3D,referenceFronts,1000,blxAlphaCrossoverAlpha,5,0.9434607258938688,0.8900400295117765,0.9715358699207204
RWA3D,extremePointsFronts,3000,blxAlphaCrossoverAlpha,11,0.8956656838095771,0.8363474337271043,0.9677065603790368
RWA3D,referenceFronts,3000,blxAlphaCrossoverAlpha,14,0.9293202282523318,0.8656761326563343,0.9546491437200733
RWA3D,extremePointsFronts,5000,blxAlphaCrossoverAlpha,10,0.8486098435698239,0.7773922211448384,0.90725469964506
RWA3D,referenceFronts,5000,blxAlphaCrossoverAlpha,7,0.9314497165855272,0.8719394849832578,0.9748315459554471
RWA3D,extremePointsFronts,7000,blxAlphaCrossoverAlpha,12,0.8974492079615539,0.6142027974349321,0.9743872094055971
RWA3D,referenceFronts,7000,blxAlphaCrossoverAlpha,9,0.9417099292829348,0.7923387863231595,0.9642730509837376
RWA3D,extremePointsFronts,1000,boltzmannTemperature,7,41.78992838829601,27.98491441033994,42.67369616488284
RWA3D,referenceFronts,1000,boltzmannTemperature,9,32.59915953911894,16.189090279685324,55.375707229066
RWA3D,extremePointsFronts,3000,boltzmannTemperature,3,60.48451607069772,33.878159051509854,60.58634198981275
RWA3D,referenceFronts,3000,boltzmannTemperature,9,16.882972716676182,7.45872173045593,53.65709027880283
RWA3D,extremePointsFronts,5000,boltzmannTemperature,4,25.415001966930383,15.230443589163919,47.89384735594538
RWA3D,referenceFronts,5000,boltzmannTemperature,8,19.178923971671637,9.810559823302395,55.78096415108431
RWA3D,extremePointsFronts,7000,boltzmannTemperature,11,5.013351909308012,3.896954684131232,64.56165868294772
RWA3D,referenceFronts,7000,boltzmannTemperature,5,3.951028143062911,1.9791389138160007,33.58760230972026
RWA3D,extremePointsFronts,1000,crossoverProbability,30,0.9290997384470798,0.8352741199262257,0.9494329711460323
RWA3D,referenceFronts,1000,crossoverProbability,30,0.88245771473303,0.8529482035367084,0.9403709286096982
RWA3D,extremePointsFronts,3000,crossoverProbability,30,0.4934967959736309,0.34566526778536655,0.6682077222313374
RWA3D,referenceFronts,3000,crossoverProbability,30,0.6401786896384878,0.4400971689601206,0.8056581645155263
RWA3D,extremePointsFronts,5000,crossoverProbability,30,0.24784829168568684,0.1838548216488429,0.4019510312919592
RWA3D,referenceFronts,5000,crossoverProbability,30,0.15326414478374767,0.0590307397118056,0.2638653265203513
RWA3D,extremePointsFronts,7000,crossoverProbability,30,0.26901526376785256,0.137701895074,0.4836496285010027
RWA3D,referenceFronts,7000,crossoverProbability,30,0.2644550911686896,0.1690940429214649,0.3747714010335682
RWA3D,extremePointsFronts,1000,levyFlightMutationBeta,5,1.104147456300535,1.0609315871492355,1.160095301274492
RWA3D,referenceFronts,1000,levyFlightMutationBeta,8,1.101778001907539,1.0415471555561697,1.179276482481574
RWA3D,referenceFronts,3000,levyFlightMutationBeta,2,1.077611394190589,1.048958456549772,1.1062643318314058
RWA3D,referenceFronts,7000,levyFlightMutationBeta,2,1.0579672614731073,1.0514410421266176,1.0644934808195972
RWA3D,extremePointsFronts,1000,levyFlightMutationStepSize,5,0.9543869668117616,0.919762670165416,0.961422442597858
RWA3D,referenceFronts,1000,levyFlightMutationStepSize,8,0.891418323476715,0.7901246946102962,0.9377224687724838
RWA3D,referenceFronts,3000,levyFlightMutationStepSize,2,0.9262834550738466,0.9249651788799855,0.9276017312677076
RWA3D,referenceFronts,7000,levyFlightMutationStepSize,2,0.927416548937894,0.9202121156348286,0.9346209822409594
RWA3D,extremePointsFronts,1000,mutationProbabilityFactor,30,1.5663993681905855,1.3859354322761366,1.6576193306829272
RWA3D,referenceFronts,1000,mutationProbabilityFactor,30,1.6561174566590098,1.4941024983289513,1.824667305115928
RWA3D,extremePointsFronts,3000,mutationProbabilityFactor,30,1.7848549360218318,1.7068534671022164,1.924761691002052
RWA3D,referenceFronts,3000,mutationProbabilityFactor,30,1.8286835180593373,1.716616699353534,1.9505223114887937
RWA3D,extremePointsFronts,5000,mutationProbabilityFactor,30,1.9171945028175443,1.771748109285565,1.9710749962801635
RWA3D,referenceFronts,5000,mutationProbabilityFactor,30,1.7939111862636898,1.6030273942250046,1.9441910509368132
RWA3D,extremePointsFronts,7000,mutationProbabilityFactor,30,1.8564280405125129,1.625415756199028,1.9580484669322917
RWA3D,referenceFronts,7000,mutationProbabilityFactor,30,1.8714627995054909,1.758554926815973,1.9473504872858696
RWA3D,extremePointsFronts,1000,offspringPopulationSize,30,5.0,2.0,10.0
RWA3D,referenceFronts,1000,offspringPopulationSize,30,10.0,5.0,10.0
RWA3D,extremePointsFronts,3000,offspringPopulationSize,30,20.0,10.0,50.0
RWA3D,referenceFronts,3000,offspringPopulationSize,30,20.0,10.0,42.5
RWA3D,extremePointsFronts,5000,offspringPopulationSize,30,50.0,10.0,100.0
RWA3D,referenceFronts,5000,offspringPopulationSize,30,100.0,20.0,200.0
RWA3D,extremePointsFronts,7000,offspringPopulationSize,30,20.0,5.0,50.0
RWA3D,referenceFronts,7000,offspringPopulationSize,30,20.0,10.0,100.0
RWA3D,extremePointsFronts,1000,populationSizeWithArchive,30,31.0,25.25,44.25
RWA3D,referenceFronts,1000,populationSizeWithArchive,30,32.0,25.0,38.75
RWA3D,extremePointsFronts,3000,populationSizeWithArchive,30,39.5,24.25,78.75
RWA3D,referenceFronts,3000,populationSizeWithArchive,30,45.0,27.25,63.5
RWA3D,extremePointsFronts,5000,populationSizeWithArchive,30,56.0,23.0,105.5
RWA3D,referenceFronts,5000,populationSizeWithArchive,30,51.0,27.0,102.25
RWA3D,extremePointsFronts,7000,populationSizeWithArchive,30,16.5,11.25,19.75
RWA3D,referenceFronts,7000,populationSizeWithArchive,30,18.0,11.0,64.0
RWA3D,extremePointsFronts,1000,powerLawMutationDelta,25,8.324665699226035,7.56129044918432,9.18371094467237
RWA3D,referenceFronts,1000,powerLawMutationDelta,22,8.723961871363489,7.889096530390063,9.420920870958774
RWA3D,extremePointsFronts,3000,powerLawMutationDelta,30,9.159835038413242,8.72571183241853,9.66371025977921
RWA3D,referenceFronts,3000,powerLawMutationDelta,28,9.107716817335966,8.347427890203374,9.449676575661526
RWA3D,extremePointsFronts,5000,powerLawMutationDelta,30,9.642112890130633,8.997085149912703,9.844889807604979
RWA3D,referenceFronts,5000,powerLawMutationDelta,30,8.815985905732134,7.9107838546291145,9.412304213130033
RWA3D,extremePointsFronts,7000,powerLawMutationDelta,30,9.281190335948164,8.075650000039897,9.682262952893316
RWA3D,referenceFronts,7000,powerLawMutationDelta,28,9.306500567742336,8.336249859160457,9.536509709056725
