family,front_type,budget,view,quantile,parameter,category,observed_share,elite_share,elite_over_representation
RE3D,extremePointsFronts,1000,EP,0.2,createInitialSolutions,cauchy,0.4148936170212766,0.3333333333333333,-0.08156028368794327
RE3D,extremePointsFronts,1000,EP,0.2,createInitialSolutions,default,0.10638297872340426,0.10526315789473684,-0.00111982082866742
RE3D,extremePointsFronts,1000,EP,0.2,createInitialSolutions,latinHypercubeSampling,0.12056737588652482,0.15789473684210525,0.03732736095558044
RE3D,extremePointsFronts,1000,EP,0.2,createInitialSolutions,oppositionBased,0.06382978723404255,0.07017543859649122,0.006345651362448676
RE3D,extremePointsFronts,1000,EP,0.2,createInitialSolutions,scatterSearch,0.12411347517730496,0.17543859649122806,0.0513251213139231
RE3D,extremePointsFronts,1000,EP,0.2,createInitialSolutions,sobol,0.1702127659574468,0.15789473684210525,-0.01231802911534155
RE3D,extremePointsFronts,1000,HV,0.05,createInitialSolutions,cauchy,0.4148936170212766,0.6,0.1851063829787234
RE3D,extremePointsFronts,1000,HV,0.05,createInitialSolutions,default,0.10638297872340426,0.0,-0.10638297872340426
RE3D,extremePointsFronts,1000,HV,0.05,createInitialSolutions,latinHypercubeSampling,0.12056737588652482,0.13333333333333333,0.012765957446808515
RE3D,extremePointsFronts,1000,HV,0.05,createInitialSolutions,oppositionBased,0.06382978723404255,0.0,-0.06382978723404255
RE3D,extremePointsFronts,1000,HV,0.05,createInitialSolutions,scatterSearch,0.12411347517730496,0.2,0.07588652482269505
RE3D,extremePointsFronts,1000,HV,0.05,createInitialSolutions,sobol,0.1702127659574468,0.06666666666666667,-0.10354609929078014
RE3D,extremePointsFronts,1000,HV,0.1,createInitialSolutions,cauchy,0.4148936170212766,0.5172413793103449,0.10234776228906828
RE3D,extremePointsFronts,1000,HV,0.1,createInitialSolutions,default,0.10638297872340426,0.034482758620689655,-0.0719002201027146
RE3D,extremePointsFronts,1000,HV,0.1,createInitialSolutions,latinHypercubeSampling,0.12056737588652482,0.13793103448275862,0.017363658596233802
RE3D,extremePointsFronts,1000,HV,0.1,createInitialSolutions,oppositionBased,0.06382978723404255,0.034482758620689655,-0.029347028613352893
RE3D,extremePointsFronts,1000,HV,0.1,createInitialSolutions,scatterSearch,0.12411347517730496,0.13793103448275862,0.013817559305453656
RE3D,extremePointsFronts,1000,HV,0.1,createInitialSolutions,sobol,0.1702127659574468,0.13793103448275862,-0.032281731474688186
RE3D,extremePointsFronts,1000,HV,0.2,createInitialSolutions,cauchy,0.4148936170212766,0.45614035087719296,0.04124673385591637
RE3D,extremePointsFronts,1000,HV,0.2,createInitialSolutions,default,0.10638297872340426,0.08771929824561403,-0.018663680477790226
RE3D,extremePointsFronts,1000,HV,0.2,createInitialSolutions,latinHypercubeSampling,0.12056737588652482,0.17543859649122806,0.054871220604703244
RE3D,extremePointsFronts,1000,HV,0.2,createInitialSolutions,oppositionBased,0.06382978723404255,0.017543859649122806,-0.04628592758491974
RE3D,extremePointsFronts,1000,HV,0.2,createInitialSolutions,scatterSearch,0.12411347517730496,0.10526315789473684,-0.018850317282568127
RE3D,extremePointsFronts,1000,HV,0.2,createInitialSolutions,sobol,0.1702127659574468,0.15789473684210525,-0.01231802911534155
RE3D,extremePointsFronts,1000,joint,0.05,createInitialSolutions,cauchy,0.4148936170212766,0.3333333333333333,-0.08156028368794327
RE3D,extremePointsFronts,1000,joint,0.05,createInitialSolutions,default,0.10638297872340426,0.2,0.09361702127659575
RE3D,extremePointsFronts,1000,joint,0.05,createInitialSolutions,latinHypercubeSampling,0.12056737588652482,0.06666666666666667,-0.05390070921985815
RE3D,extremePointsFronts,1000,joint,0.05,createInitialSolutions,oppositionBased,0.06382978723404255,0.0,-0.06382978723404255
RE3D,extremePointsFronts,1000,joint,0.05,createInitialSolutions,scatterSearch,0.12411347517730496,0.26666666666666666,0.14255319148936169
RE3D,extremePointsFronts,1000,joint,0.05,createInitialSolutions,sobol,0.1702127659574468,0.13333333333333333,-0.03687943262411347
RE3D,extremePointsFronts,1000,joint,0.1,createInitialSolutions,cauchy,0.4148936170212766,0.3448275862068966,-0.07006603081438001
RE3D,extremePointsFronts,1000,joint,0.1,createInitialSolutions,default,0.10638297872340426,0.13793103448275862,0.03154805575935436
RE3D,extremePointsFronts,1000,joint,0.1,createInitialSolutions,latinHypercubeSampling,0.12056737588652482,0.13793103448275862,0.017363658596233802
RE3D,extremePointsFronts,1000,joint,0.1,createInitialSolutions,oppositionBased,0.06382978723404255,0.06896551724137931,0.005135730007336761
RE3D,extremePointsFronts,1000,joint,0.1,createInitialSolutions,scatterSearch,0.12411347517730496,0.1724137931034483,0.048300317926143324
RE3D,extremePointsFronts,1000,joint,0.1,createInitialSolutions,sobol,0.1702127659574468,0.13793103448275862,-0.032281731474688186
RE3D,extremePointsFronts,1000,joint,0.2,createInitialSolutions,cauchy,0.4148936170212766,0.43859649122807015,0.023702874206793567
RE3D,extremePointsFronts,1000,joint,0.2,createInitialSolutions,default,0.10638297872340426,0.10526315789473684,-0.00111982082866742
RE3D,extremePointsFronts,1000,joint,0.2,createInitialSolutions,latinHypercubeSampling,0.12056737588652482,0.10526315789473684,-0.01530421799178798
RE3D,extremePointsFronts,1000,joint,0.2,createInitialSolutions,oppositionBased,0.06382978723404255,0.08771929824561403,0.023889511011571482
RE3D,extremePointsFronts,1000,joint,0.2,createInitialSolutions,scatterSearch,0.12411347517730496,0.14035087719298245,0.016237402015677485
RE3D,extremePointsFronts,1000,joint,0.2,createInitialSolutions,sobol,0.1702127659574468,0.12280701754385964,-0.04740574841358716
RE3D,extremePointsFronts,1000,EP,0.05,crossover,BLX-alpha,0.3546099290780142,0.3333333333333333,-0.021276595744680882
RE3D,extremePointsFronts,1000,EP,0.05,crossover,BLX-alpha-beta,0.6453900709219859,0.6666666666666666,0.02127659574468077
RE3D,extremePointsFronts,1000,EP,0.1,crossover,BLX-alpha,0.3546099290780142,0.27586206896551724,-0.07874786011249696
RE3D,extremePointsFronts,1000,EP,0.1,crossover,BLX-alpha-beta,0.6453900709219859,0.7241379310344828,0.0787478601124969
RE3D,extremePointsFronts,1000,EP,0.2,crossover,BLX-alpha,0.3546099290780142,0.2982456140350877,-0.056364315042926494
RE3D,extremePointsFronts,1000,EP,0.2,crossover,BLX-alpha-beta,0.6453900709219859,0.7017543859649122,0.05636431504292638
RE3D,extremePointsFronts,1000,HV,0.05,crossover,BLX-alpha,0.3546099290780142,1.0,0.6453900709219857
RE3D,extremePointsFronts,1000,HV,0.05,crossover,BLX-alpha-beta,0.6453900709219859,0.0,-0.6453900709219859
RE3D,extremePointsFronts,1000,HV,0.1,crossover,BLX-alpha,0.3546099290780142,0.7241379310344828,0.36952800195646857
RE3D,extremePointsFronts,1000,HV,0.1,crossover,BLX-alpha-beta,0.6453900709219859,0.27586206896551724,-0.3695280019564686
RE3D,extremePointsFronts,1000,HV,0.2,crossover,BLX-alpha,0.3546099290780142,0.631578947368421,0.2769690182904068
RE3D,extremePointsFronts,1000,HV,0.2,crossover,BLX-alpha-beta,0.6453900709219859,0.3684210526315789,-0.27696901829040693
RE3D,extremePointsFronts,1000,joint,0.05,crossover,BLX-alpha,0.3546099290780142,0.7333333333333333,0.3787234042553191
RE3D,extremePointsFronts,1000,joint,0.05,crossover,BLX-alpha-beta,0.6453900709219859,0.26666666666666666,-0.3787234042553192
RE3D,extremePointsFronts,1000,joint,0.1,crossover,BLX-alpha,0.3546099290780142,0.7241379310344828,0.36952800195646857
RE3D,extremePointsFronts,1000,joint,0.1,crossover,BLX-alpha-beta,0.6453900709219859,0.27586206896551724,-0.3695280019564686
RE3D,extremePointsFronts,1000,joint,0.2,crossover,BLX-alpha,0.3546099290780142,0.6140350877192983,0.25942515864128407
RE3D,extremePointsFronts,1000,joint,0.2,crossover,BLX-alpha-beta,0.6453900709219859,0.38596491228070173,-0.2594251586412841
RE3D,extremePointsFronts,1000,EP,0.05,crossoverRepairStrategy,bounds,0.6382978723404256,0.7333333333333333,0.09503546099290772
RE3D,extremePointsFronts,1000,EP,0.05,crossoverRepairStrategy,random,0.2127659574468085,0.2,-0.012765957446808501
RE3D,extremePointsFronts,1000,EP,0.05,crossoverRepairStrategy,round,0.14893617021276595,0.06666666666666667,-0.08226950354609928
RE3D,extremePointsFronts,1000,EP,0.1,crossoverRepairStrategy,bounds,0.6382978723404256,0.7241379310344828,0.0858400586940572
RE3D,extremePointsFronts,1000,EP,0.1,crossoverRepairStrategy,random,0.2127659574468085,0.20689655172413793,-0.005869405722670584
RE3D,extremePointsFronts,1000,EP,0.1,crossoverRepairStrategy,round,0.14893617021276595,0.06896551724137931,-0.07997065297138664
RE3D,extremePointsFronts,1000,EP,0.2,crossoverRepairStrategy,bounds,0.6382978723404256,0.6491228070175439,0.010824934677118314
RE3D,extremePointsFronts,1000,EP,0.2,crossoverRepairStrategy,random,0.2127659574468085,0.22807017543859648,0.015304217991787966
RE3D,extremePointsFronts,1000,EP,0.2,crossoverRepairStrategy,round,0.14893617021276595,0.12280701754385964,-0.026129152668906308
RE3D,extremePointsFronts,1000,HV,0.05,crossoverRepairStrategy,bounds,0.6382978723404256,1.0,0.36170212765957444
RE3D,extremePointsFronts,1000,HV,0.05,crossoverRepairStrategy,random,0.2127659574468085,0.0,-0.2127659574468085
RE3D,extremePointsFronts,1000,HV,0.05,crossoverRepairStrategy,round,0.14893617021276595,0.0,-0.14893617021276595
RE3D,extremePointsFronts,1000,HV,0.1,crossoverRepairStrategy,bounds,0.6382978723404256,0.9310344827586207,0.2927366104181951
RE3D,extremePointsFronts,1000,HV,0.1,crossoverRepairStrategy,random,0.2127659574468085,0.034482758620689655,-0.17828319882611887
RE3D,extremePointsFronts,1000,HV,0.1,crossoverRepairStrategy,round,0.14893617021276595,0.034482758620689655,-0.1144534115920763
RE3D,extremePointsFronts,1000,HV,0.2,crossoverRepairStrategy,bounds,0.6382978723404256,0.8947368421052632,0.2564389697648376
RE3D,extremePointsFronts,1000,HV,0.2,crossoverRepairStrategy,random,0.2127659574468085,0.03508771929824561,-0.1776782381485629
RE3D,extremePointsFronts,1000,HV,0.2,crossoverRepairStrategy,round,0.14893617021276595,0.07017543859649122,-0.07876073161627473
RE3D,extremePointsFronts,1000,joint,0.05,crossoverRepairStrategy,bounds,0.6382978723404256,1.0,0.36170212765957444
RE3D,extremePointsFronts,1000,joint,0.05,crossoverRepairStrategy,random,0.2127659574468085,0.0,-0.2127659574468085
RE3D,extremePointsFronts,1000,joint,0.05,crossoverRepairStrategy,round,0.14893617021276595,0.0,-0.14893617021276595
RE3D,extremePointsFronts,1000,joint,0.1,crossoverRepairStrategy,bounds,0.6382978723404256,0.9655172413793104,0.3272193690388848
RE3D,extremePointsFronts,1000,joint,0.1,crossoverRepairStrategy,random,0.2127659574468085,0.0,-0.2127659574468085
RE3D,extremePointsFronts,1000,joint,0.1,crossoverRepairStrategy,round,0.14893617021276595,0.034482758620689655,-0.1144534115920763
RE3D,extremePointsFronts,1000,joint,0.2,crossoverRepairStrategy,bounds,0.6382978723404256,0.8771929824561403,0.23889511011571474
RE3D,extremePointsFronts,1000,joint,0.2,crossoverRepairStrategy,random,0.2127659574468085,0.03508771929824561,-0.1776782381485629
RE3D,extremePointsFronts,1000,joint,0.2,crossoverRepairStrategy,round,0.14893617021276595,0.08771929824561403,-0.06121687196715192
RE3D,extremePointsFronts,1000,EP,0.05,mutation,levyFlight,0.5460992907801419,0.6,0.05390070921985812
RE3D,extremePointsFronts,1000,EP,0.05,mutation,linkedPolynomial,0.11347517730496454,0.06666666666666667,-0.04680851063829787
RE3D,extremePointsFronts,1000,EP,0.05,mutation,nonUniform,0.0035460992907801418,0.0,-0.0035460992907801418
RE3D,extremePointsFronts,1000,EP,0.05,mutation,polynomial,0.03546099290780142,0.0,-0.03546099290780142
RE3D,extremePointsFronts,1000,EP,0.05,mutation,powerLaw,0.24468085106382978,0.26666666666666666,0.021985815602836883
RE3D,extremePointsFronts,1000,EP,0.05,mutation,uniform,0.05673758865248227,0.06666666666666667,0.009929078014184398
RE3D,extremePointsFronts,1000,EP,0.1,mutation,levyFlight,0.5460992907801419,0.6551724137931034,0.10907312301296157
RE3D,extremePointsFronts,1000,EP,0.1,mutation,linkedPolynomial,0.11347517730496454,0.06896551724137931,-0.04450966006358523
RE3D,extremePointsFronts,1000,EP,0.1,mutation,nonUniform,0.0035460992907801418,0.0,-0.0035460992907801418
RE3D,extremePointsFronts,1000,EP,0.1,mutation,polynomial,0.03546099290780142,0.0,-0.03546099290780142
RE3D,extremePointsFronts,1000,EP,0.1,mutation,powerLaw,0.24468085106382978,0.2413793103448276,-0.003301540719002183
RE3D,extremePointsFronts,1000,EP,0.1,mutation,uniform,0.05673758865248227,0.034482758620689655,-0.022254830031792613
RE3D,extremePointsFronts,1000,EP,0.2,mutation,levyFlight,0.5460992907801419,0.5964912280701754,0.05039193729003355
RE3D,extremePointsFronts,1000,EP,0.2,mutation,linkedPolynomial,0.11347517730496454,0.10526315789473684,-0.0082120194102277
RE3D,extremePointsFronts,1000,EP,0.2,mutation,nonUniform,0.0035460992907801418,0.0,-0.0035460992907801418
RE3D,extremePointsFronts,1000,EP,0.2,mutation,polynomial,0.03546099290780142,0.0,-0.03546099290780142
RE3D,extremePointsFronts,1000,EP,0.2,mutation,powerLaw,0.24468085106382978,0.22807017543859648,-0.0166106756252333
RE3D,extremePointsFronts,1000,EP,0.2,mutation,uniform,0.05673758865248227,0.07017543859649122,0.013437849944008956
RE3D,extremePointsFronts,1000,HV,0.05,mutation,levyFlight,0.5460992907801419,0.26666666666666666,-0.2794326241134752
RE3D,extremePointsFronts,1000,HV,0.05,mutation,linkedPolynomial,0.11347517730496454,0.0,-0.11347517730496454
RE3D,extremePointsFronts,1000,HV,0.05,mutation,nonUniform,0.0035460992907801418,0.0,-0.0035460992907801418
RE3D,extremePointsFronts,1000,HV,0.05,mutation,polynomial,0.03546099290780142,0.0,-0.03546099290780142
RE3D,extremePointsFronts,1000,HV,0.05,mutation,powerLaw,0.24468085106382978,0.7333333333333333,0.48865248226950353
RE3D,extremePointsFronts,1000,HV,0.05,mutation,uniform,0.05673758865248227,0.0,-0.05673758865248227
RE3D,extremePointsFronts,1000,HV,0.1,mutation,levyFlight,0.5460992907801419,0.3793103448275862,-0.16678894595255567
RE3D,extremePointsFronts,1000,HV,0.1,mutation,linkedPolynomial,0.11347517730496454,0.06896551724137931,-0.04450966006358523
RE3D,extremePointsFronts,1000,HV,0.1,mutation,nonUniform,0.0035460992907801418,0.034482758620689655,0.030936659329909515
RE3D,extremePointsFronts,1000,HV,0.1,mutation,polynomial,0.03546099290780142,0.0,-0.03546099290780142
RE3D,extremePointsFronts,1000,HV,0.1,mutation,powerLaw,0.24468085106382978,0.4827586206896552,0.23807776962582541
RE3D,extremePointsFronts,1000,HV,0.1,mutation,uniform,0.05673758865248227,0.034482758620689655,-0.022254830031792613
RE3D,extremePointsFronts,1000,HV,0.2,mutation,levyFlight,0.5460992907801419,0.42105263157894735,-0.1250466592011945
RE3D,extremePointsFronts,1000,HV,0.2,mutation,linkedPolynomial,0.11347517730496454,0.10526315789473684,-0.0082120194102277
RE3D,extremePointsFronts,1000,HV,0.2,mutation,nonUniform,0.0035460992907801418,0.017543859649122806,0.013997760358342664
RE3D,extremePointsFronts,1000,HV,0.2,mutation,polynomial,0.03546099290780142,0.0,-0.03546099290780142
RE3D,extremePointsFronts,1000,HV,0.2,mutation,powerLaw,0.24468085106382978,0.42105263157894735,0.17637178051511757
RE3D,extremePointsFronts,1000,HV,0.2,mutation,uniform,0.05673758865248227,0.03508771929824561,-0.021649869354236656
RE3D,extremePointsFronts,1000,joint,0.05,mutation,levyFlight,0.5460992907801419,0.4666666666666667,-0.07943262411347518
RE3D,extremePointsFronts,1000,joint,0.05,mutation,linkedPolynomial,0.11347517730496454,0.0,-0.11347517730496454
RE3D,extremePointsFronts,1000,joint,0.05,mutation,nonUniform,0.0035460992907801418,0.0,-0.0035460992907801418
RE3D,extremePointsFronts,1000,joint,0.05,mutation,polynomial,0.03546099290780142,0.0,-0.03546099290780142
RE3D,extremePointsFronts,1000,joint,0.05,mutation,powerLaw,0.24468085106382978,0.4666666666666667,0.2219858156028369
RE3D,extremePointsFronts,1000,joint,0.05,mutation,uniform,0.05673758865248227,0.06666666666666667,0.009929078014184398
RE3D,extremePointsFronts,1000,joint,0.1,mutation,levyFlight,0.5460992907801419,0.4482758620689655,-0.09782342871117633
RE3D,extremePointsFronts,1000,joint,0.1,mutation,linkedPolynomial,0.11347517730496454,0.034482758620689655,-0.07899241868427488
RE3D,extremePointsFronts,1000,joint,0.1,mutation,nonUniform,0.0035460992907801418,0.0,-0.0035460992907801418
RE3D,extremePointsFronts,1000,joint,0.1,mutation,polynomial,0.03546099290780142,0.0,-0.03546099290780142
RE3D,extremePointsFronts,1000,joint,0.1,mutation,powerLaw,0.24468085106382978,0.4482758620689655,0.20359501100513575
RE3D,extremePointsFronts,1000,joint,0.1,mutation,uniform,0.05673758865248227,0.06896551724137931,0.012227928588897041
RE3D,extremePointsFronts,1000,joint,0.2,mutation,levyFlight,0.5460992907801419,0.42105263157894735,-0.1250466592011945
RE3D,extremePointsFronts,1000,joint,0.2,mutation,linkedPolynomial,0.11347517730496454,0.017543859649122806,-0.09593131765584173
RE3D,extremePointsFronts,1000,joint,0.2,mutation,nonUniform,0.0035460992907801418,0.0,-0.0035460992907801418
RE3D,extremePointsFronts,1000,joint,0.2,mutation,polynomial,0.03546099290780142,0.0,-0.03546099290780142
RE3D,extremePointsFronts,1000,joint,0.2,mutation,powerLaw,0.24468085106382978,0.5263157894736842,0.28163493840985443
RE3D,extremePointsFronts,1000,joint,0.2,mutation,uniform,0.05673758865248227,0.03508771929824561,-0.021649869354236656
RE3D,extremePointsFronts,1000,EP,0.05,mutationRepairStrategy,bounds,0.8085106382978723,0.8666666666666667,0.05815602836879441
RE3D,extremePointsFronts,1000,EP,0.05,mutationRepairStrategy,random,0.031914893617021274,0.0,-0.031914893617021274
RE3D,extremePointsFronts,1000,EP,0.05,mutationRepairStrategy,round,0.1595744680851064,0.13333333333333333,-0.02624113475177306
RE3D,extremePointsFronts,1000,EP,0.1,mutationRepairStrategy,bounds,0.8085106382978723,0.7931034482758621,-0.015407190022010187
RE3D,extremePointsFronts,1000,EP,0.1,mutationRepairStrategy,random,0.031914893617021274,0.034482758620689655,0.0025678650036683806
RE3D,extremePointsFronts,1000,EP,0.1,mutationRepairStrategy,round,0.1595744680851064,0.1724137931034483,0.012839325018341896
RE3D,extremePointsFronts,1000,EP,0.2,mutationRepairStrategy,bounds,0.8085106382978723,0.8245614035087719,0.016050765210899653
RE3D,extremePointsFronts,1000,EP,0.2,mutationRepairStrategy,random,0.031914893617021274,0.017543859649122806,-0.014371033967898468
RE3D,extremePointsFronts,1000,EP,0.2,mutationRepairStrategy,round,0.1595744680851064,0.15789473684210525,-0.0016797312430011369
RE3D,extremePointsFronts,1000,HV,0.05,mutationRepairStrategy,bounds,0.8085106382978723,0.5333333333333333,-0.27517730496453896
RE3D,extremePointsFronts,1000,HV,0.05,mutationRepairStrategy,random,0.031914893617021274,0.0,-0.031914893617021274
RE3D,extremePointsFronts,1000,HV,0.05,mutationRepairStrategy,round,0.1595744680851064,0.4666666666666667,0.3070921985815603
RE3D,extremePointsFronts,1000,HV,0.1,mutationRepairStrategy,bounds,0.8085106382978723,0.6551724137931034,-0.15333822450476886
RE3D,extremePointsFronts,1000,HV,0.1,mutationRepairStrategy,random,0.031914893617021274,0.0,-0.031914893617021274
RE3D,extremePointsFronts,1000,HV,0.1,mutationRepairStrategy,round,0.1595744680851064,0.3448275862068966,0.18525311812179018
RE3D,extremePointsFronts,1000,HV,0.2,mutationRepairStrategy,bounds,0.8085106382978723,0.7017543859649122,-0.10675625233296004
RE3D,extremePointsFronts,1000,HV,0.2,mutationRepairStrategy,random,0.031914893617021274,0.0,-0.031914893617021274
RE3D,extremePointsFronts,1000,HV,0.2,mutationRepairStrategy,round,0.1595744680851064,0.2982456140350877,0.1386711459499813
RE3D,extremePointsFronts,1000,joint,0.05,mutationRepairStrategy,bounds,0.8085106382978723,0.8,-0.008510638297872242
RE3D,extremePointsFronts,1000,joint,0.05,mutationRepairStrategy,random,0.031914893617021274,0.0,-0.031914893617021274
RE3D,extremePointsFronts,1000,joint,0.05,mutationRepairStrategy,round,0.1595744680851064,0.2,0.04042553191489362
RE3D,extremePointsFronts,1000,joint,0.1,mutationRepairStrategy,bounds,0.8085106382978723,0.6896551724137931,-0.11885546588407914
RE3D,extremePointsFronts,1000,joint,0.1,mutationRepairStrategy,random,0.031914893617021274,0.0,-0.031914893617021274
RE3D,extremePointsFronts,1000,joint,0.1,mutationRepairStrategy,round,0.1595744680851064,0.3103448275862069,0.15077035950110051
RE3D,extremePointsFronts,1000,joint,0.2,mutationRepairStrategy,bounds,0.8085106382978723,0.631578947368421,-0.17693169092945127
RE3D,extremePointsFronts,1000,joint,0.2,mutationRepairStrategy,random,0.031914893617021274,0.0,-0.031914893617021274
RE3D,extremePointsFronts,1000,joint,0.2,mutationRepairStrategy,round,0.1595744680851064,0.3684210526315789,0.20884658454647254
RE3D,extremePointsFronts,1000,EP,0.05,offspringPopulationSize,1,0.1702127659574468,0.2,0.029787234042553207
RE3D,extremePointsFronts,1000,EP,0.05,offspringPopulationSize,10,0.30141843971631205,0.3333333333333333,0.03191489361702127
RE3D,extremePointsFronts,1000,EP,0.05,offspringPopulationSize,20,0.05673758865248227,0.06666666666666667,0.009929078014184398
RE3D,extremePointsFronts,1000,EP,0.05,offspringPopulationSize,5,0.4716312056737589,0.4,-0.07163120567375886
RE3D,extremePointsFronts,1000,EP,0.1,offspringPopulationSize,1,0.1702127659574468,0.1724137931034483,0.002201027146001483
RE3D,extremePointsFronts,1000,EP,0.1,offspringPopulationSize,10,0.30141843971631205,0.3103448275862069,0.008926387869894858
RE3D,extremePointsFronts,1000,EP,0.1,offspringPopulationSize,20,0.05673758865248227,0.06896551724137931,0.012227928588897041
RE3D,extremePointsFronts,1000,EP,0.1,offspringPopulationSize,5,0.4716312056737589,0.4482758620689655,-0.023355343604793355
RE3D,extremePointsFronts,1000,EP,0.2,offspringPopulationSize,1,0.1702127659574468,0.17543859649122806,0.005225830533781256
RE3D,extremePointsFronts,1000,EP,0.2,offspringPopulationSize,10,0.30141843971631205,0.2807017543859649,-0.02071668533034715
RE3D,extremePointsFronts,1000,EP,0.2,offspringPopulationSize,20,0.05673758865248227,0.07017543859649122,0.013437849944008956
RE3D,extremePointsFronts,1000,EP,0.2,offspringPopulationSize,5,0.4716312056737589,0.47368421052631576,0.0020530048525568834
RE3D,extremePointsFronts,1000,HV,0.05,offspringPopulationSize,1,0.1702127659574468,0.2,0.029787234042553207
RE3D,extremePointsFronts,1000,HV,0.05,offspringPopulationSize,10,0.30141843971631205,0.06666666666666667,-0.2347517730496454
RE3D,extremePointsFronts,1000,HV,0.05,offspringPopulationSize,20,0.05673758865248227,0.0,-0.05673758865248227
RE3D,extremePointsFronts,1000,HV,0.05,offspringPopulationSize,5,0.4716312056737589,0.7333333333333333,0.2617021276595744
RE3D,extremePointsFronts,1000,HV,0.1,offspringPopulationSize,1,0.1702127659574468,0.20689655172413793,0.036683785766691124
RE3D,extremePointsFronts,1000,HV,0.1,offspringPopulationSize,10,0.30141843971631205,0.20689655172413793,-0.09452188799217412
RE3D,extremePointsFronts,1000,HV,0.1,offspringPopulationSize,20,0.05673758865248227,0.0,-0.05673758865248227
RE3D,extremePointsFronts,1000,HV,0.1,offspringPopulationSize,5,0.4716312056737589,0.5862068965517241,0.11457569087796521
RE3D,extremePointsFronts,1000,HV,0.2,offspringPopulationSize,1,0.1702127659574468,0.21052631578947367,0.04031354983202687
RE3D,extremePointsFronts,1000,HV,0.2,offspringPopulationSize,10,0.30141843971631205,0.2631578947368421,-0.03826054497946996
RE3D,extremePointsFronts,1000,HV,0.2,offspringPopulationSize,20,0.05673758865248227,0.0,-0.05673758865248227
RE3D,extremePointsFronts,1000,HV,0.2,offspringPopulationSize,5,0.4716312056737589,0.5263157894736842,0.0546845837999253
RE3D,extremePointsFronts,1000,joint,0.05,offspringPopulationSize,1,0.1702127659574468,0.4,0.22978723404255322
RE3D,extremePointsFronts,1000,joint,0.05,offspringPopulationSize,10,0.30141843971631205,0.2,-0.10141843971631204
