scope,front_type,budget,indicator,rank,parameter_family,importance,n_samples
RE3D,estimatedReferenceFronts,7000,HVMinus,5,crossoverProbability,0.020333239556342163,667
RE3D,estimatedReferenceFronts,7000,HVMinus,6,mutationProbabilityFactor,0.020014181852317518,667
RE3D,estimatedReferenceFronts,7000,HVMinus,7,populationSizeWithArchive,0.014495374631657582,667
RE3D,estimatedReferenceFronts,7000,HVMinus,8,linkedPolynomialMutationDistributionIndex,0.01287121227169184,667
RE3D,estimatedReferenceFronts,7000,HVMinus,9,powerLawMutationDelta,0.011587792201407699,667
RE3D,estimatedReferenceFronts,7000,HVMinus,10,offspringPopulationSize,0.006198833414182779,667
RE3D,estimatedReferenceFronts,7000,HVMinus,11,createInitialSolutions,0.005327773496731267,667
RE3D,estimatedReferenceFronts,7000,HVMinus,12,levyFlightMutationBeta,0.0045438511580540054,667
RE3D,estimatedReferenceFronts,7000,HVMinus,13,mutationRepairStrategy,0.004437653508978327,667
RE3D,estimatedReferenceFronts,7000,HVMinus,14,levyFlightMutationStepSize,0.004393050301160915,667
RE3D,estimatedReferenceFronts,7000,HVMinus,15,selectionTournamentSize,0.003924554906144837,667
RE3D,estimatedReferenceFronts,7000,HVMinus,16,crossover,0.00370068458790002,667
RE3D,estimatedReferenceFronts,7000,HVMinus,17,pcxCrossoverEta,0.0032457511249171715,667
RE3D,estimatedReferenceFronts,7000,HVMinus,18,boltzmannTemperature,0.003198354006901759,667
RE3D,estimatedReferenceFronts,7000,HVMinus,19,pcxCrossoverZeta,0.002805955406259848,667
RE3D,estimatedReferenceFronts,7000,HVMinus,20,selection,0.0027923613399729124,667
RE3D,estimatedReferenceFronts,7000,HVMinus,21,undcCrossoverZeta,0.0014457637579932217,667
RE3D,estimatedReferenceFronts,7000,HVMinus,22,blxAlphaBetaCrossoverAlpha,0.0013988743398361063,667
RE3D,estimatedReferenceFronts,7000,HVMinus,23,crossoverRepairStrategy,0.0013770486623316492,667
RE3D,estimatedReferenceFronts,7000,HVMinus,24,undcCrossoverEta,0.0012805268360487618,667
RE3D,estimatedReferenceFronts,7000,HVMinus,25,algorithmResult,0.0008046319894688084,667
RE3D,estimatedReferenceFronts,7000,HVMinus,26,blxAlphaBetaCrossoverBeta,0.0007732942823012015,667
RE3D,estimatedReferenceFronts,7000,HVMinus,27,blxAlphaCrossoverAlpha,0.0006974053387523561,667
RE3D,estimatedReferenceFronts,7000,HVMinus,28,polynomialMutationDistributionIndex,0.000646041386893763,667
RE3D,estimatedReferenceFronts,7000,HVMinus,29,uniformMutationPerturbation,0.0003456918871586555,667
RE3D,estimatedReferenceFronts,7000,HVMinus,30,fuzzyRecombinationCrossoverAlpha,1.5735471908521453e-05,667
RWA3D,estimatedReferenceFronts,7000,EP,1,uniformMutationPerturbation,0.4885871199990576,545
RWA3D,estimatedReferenceFronts,7000,EP,2,mutationRepairStrategy,0.2740423164960627,545
RWA3D,estimatedReferenceFronts,7000,EP,3,offspringPopulationSize,0.09795510554046749,545
RWA3D,estimatedReferenceFronts,7000,EP,4,boltzmannTemperature,0.04292105259050414,545
RWA3D,estimatedReferenceFronts,7000,EP,5,crossoverProbability,0.02752095182726405,545
RWA3D,estimatedReferenceFronts,7000,EP,6,mutationProbabilityFactor,0.013445692515008604,545
RWA3D,estimatedReferenceFronts,7000,EP,7,levyFlightMutationBeta,0.012279461011037236,545
RWA3D,estimatedReferenceFronts,7000,EP,8,createInitialSolutions,0.007648887522673686,545
RWA3D,estimatedReferenceFronts,7000,EP,9,blxAlphaCrossoverAlpha,0.0075015078126562905,545
RWA3D,estimatedReferenceFronts,7000,EP,10,populationSizeWithArchive,0.005907801570793518,545
RWA3D,estimatedReferenceFronts,7000,EP,11,selection,0.0043314282230048325,545
RWA3D,estimatedReferenceFronts,7000,EP,12,blxAlphaBetaCrossoverBeta,0.0035174942697403103,545
RWA3D,estimatedReferenceFronts,7000,EP,13,blxAlphaBetaCrossoverAlpha,0.0029438613876914673,545
RWA3D,estimatedReferenceFronts,7000,EP,14,levyFlightMutationStepSize,0.0024458662486871634,545
RWA3D,estimatedReferenceFronts,7000,EP,15,crossoverRepairStrategy,0.001968427942586604,545
RWA3D,estimatedReferenceFronts,7000,EP,16,selectionTournamentSize,0.0017638489254137833,545
RWA3D,estimatedReferenceFronts,7000,EP,17,algorithmResult,0.0016445092355861046,545
RWA3D,estimatedReferenceFronts,7000,EP,18,powerLawMutationDelta,0.0011073283155687594,545
RWA3D,estimatedReferenceFronts,7000,EP,19,mutation,0.0008340190419127676,545
RWA3D,estimatedReferenceFronts,7000,EP,20,archiveType,0.0005749255716829433,545
RWA3D,estimatedReferenceFronts,7000,EP,21,crossover,0.00033219369712049793,545
RWA3D,estimatedReferenceFronts,7000,EP,22,pcxCrossoverZeta,0.00025588373314293106,545
RWA3D,estimatedReferenceFronts,7000,EP,23,laplaceCrossoverScale,0.00017160359924062535,545
RWA3D,estimatedReferenceFronts,7000,EP,24,pcxCrossoverEta,0.0001702188374200415,545
RWA3D,estimatedReferenceFronts,7000,EP,25,polynomialMutationDistributionIndex,7.480955275627502e-05,545
RWA3D,estimatedReferenceFronts,7000,EP,26,fuzzyRecombinationCrossoverAlpha,3.638052011973962e-05,545
RWA3D,estimatedReferenceFronts,7000,EP,27,nonUniformMutationPerturbation,9.372847886978685e-06,545
RWA3D,estimatedReferenceFronts,7000,EP,28,undcCrossoverEta,4.470210902316889e-06,545
RWA3D,estimatedReferenceFronts,7000,EP,29,undcCrossoverZeta,3.460954010485985e-06,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,1,levyFlightMutationBeta,0.349855996272847,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,2,crossoverProbability,0.263498171901365,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,3,powerLawMutationDelta,0.14293233413050668,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,4,polynomialMutationDistributionIndex,0.05718722951322343,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,5,mutation,0.031089900623364412,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,6,populationSizeWithArchive,0.024018644043738296,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,7,boltzmannTemperature,0.02392917104805318,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,8,mutationProbabilityFactor,0.018219284728586114,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,9,createInitialSolutions,0.008842326735811833,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,10,offspringPopulationSize,0.007935932220956418,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,11,uniformMutationPerturbation,0.0076269447355024654,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,12,pcxCrossoverZeta,0.00693947681444743,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,13,mutationRepairStrategy,0.0066065202043308294,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,14,blxAlphaBetaCrossoverAlpha,0.00593083540245287,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,15,pcxCrossoverEta,0.005639574816726872,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,16,crossover,0.005117700926097088,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,17,selectionTournamentSize,0.004891485005470739,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,18,crossoverRepairStrategy,0.004859847853672296,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,19,undcCrossoverEta,0.0047223825332499475,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,20,levyFlightMutationStepSize,0.004673616994573107,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,21,undcCrossoverZeta,0.0045561447686443025,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,22,selection,0.004348144344561213,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,23,blxAlphaBetaCrossoverBeta,0.0027875641461306082,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,24,blxAlphaCrossoverAlpha,0.0020572772521253294,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,25,laplaceCrossoverScale,0.0007244320721679363,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,26,algorithmResult,0.0005946214949263911,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,27,nonUniformMutationPerturbation,0.00029749425212587495,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,28,archiveType,8.267139707630284e-05,545
RWA3D,estimatedReferenceFronts,7000,HVMinus,29,fuzzyRecombinationCrossoverAlpha,3.4273767266192044e-05,545
